% 1. Title of Database: Blocks Classification
% 2. Sources:
%    (a) Donato Malerba
%        Dipartimento di Informatica
%        University of Bari
%        via Orabona 4
%        70126 Bari - Italy
%        phone: +39 - 80 - 5443269
%        fax: +39 - 80 - 5443196
%        malerbad@vm.csata.it
%    (b) Donor: Donato Malerba
%    (c) Date: July 1995
% 3. Past Usage:
%    This data set have been used to try different simplification methods
%    for decision trees. A summary of the results can be found in:
% 
%    Malerba, D., Esposito, F., and Semeraro, G.
%    "A Further Comparison of Simplification Methods for Decision-Tree Induction."
%    In D. Fisher and H. Lenz (Eds.), "Learning  from Data: 
%    Artificial Intelligence and Statistics V", Lecture Notes in Statistics,
%    Springer Verlag, Berlin, 1995.
% 
%    The problem consists in classifying all the blocks of the page
%    layout of a document that has been detected by a segmentation
%    process. This is an essential step in document analysis
%    in order to separate text from graphic areas. Indeed, 
%    the five classes are: text (1), horizontal line (2),
%    picture (3), vertical line (4) and graphic (5).
%    For a detailed presentation of the problem see:
% 
%     Esposito F., Malerba D., & Semeraro G.
%   Multistrategy Learning for Document Recognition
%          Applied Artificial Intelligence, 8, pp. 33-84, 1994
% 
%    All instances have been personally checked so that
%    low noise is present in the data.
% 
% 4. Relevant Information Paragraph:
% 
%    The 5473 examples comes from 54 distinct documents. 
%    Each observation concerns one block. 
%    All attributes are numeric.
%    Data are in a format readable by C4.5.
% 
% 5. Number of Instances: 5473.
% 
% 6. Number of Attributes 
% 
%    height:   integer.         | Height of the block.
%    lenght:   integer.     | Length of the block. 
%    area:     integer.    | Area of the block (height * lenght);
%    eccen:    continuous.  | Eccentricity of the block (lenght / height);
%    p_black:  continuous.  | Percentage of black pixels within the block (blackpix / area);
%    p_and:    continuous.        | Percentage of black pixels after the application of the Run Length Smoothing Algorithm (RLSA) (blackand / area);
%    mean_tr:  continuous.      | Mean number of white-black transitions (blackpix / wb_trans);
%    blackpix: integer.    | Total number of black pixels in the original bitmap of the block.
%    blackand: integer.        | Total number of black pixels in the bitmap of the block after the RLSA.
%    wb_trans: integer.          | Number of white-black transitions in the original bitmap of the block.
% 
% 
% 
% 7. Missing Attribute Values:  No missing value.
% 
% 8. Class Distribution: 
% 
%                                            Valid    Cum
%    Class               Frequency  Percent  Percent  Percent
%  
% text                      4913     89.8     89.8     89.8
% horiz. line                329      6.0      6.0     95.8
% graphic                     28       .5       .5     96.3
% vert. line                  88      1.6      1.6     97.9
% picture                    115      2.1      2.1    100.0
%                                 -------  -------  -------
%                         TOTAL      5473    100.0    100.0
% 
% Summary Statistics:
% 
% Variable      Mean    Std Dev   Minimum   Maximum   Correlation 
% 
% HEIGHT       10.47      18.96         1       804         .3510
% LENGTH       89.57     114.72         1       553        -.0045
% AREA       1198.41    4849.38         7    143993         .2343
% ECCEN        13.75      30.70      .007    537.00         .0992
% P_BLACK        .37        .18      .052      1.00         .2130
% P_AND          .79        .17      .062      1.00        -.1771
% MEAN_TR       6.22      69.08      1.00   4955.00         .0723
% BLACKPIX    365.93    1270.33         7     33017         .1656
% BLACKAND    741.11    1881.50         7     46133         .1565
% WB_TRANS    106.66     167.31         1      3212         .0337
% 
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation page-blocks

@attribute height INTEGER
@attribute lenght INTEGER
@attribute area INTEGER
@attribute eccen REAL
@attribute p_black REAL
@attribute p_and REAL
@attribute mean_tr REAL
@attribute blackpix INTEGER
@attribute blackand INTEGER
@attribute wb_trans INTEGER
@attribute class {1,2,3,4,5}

@data
10,215,2150,21.500,.133,.464,1.20,287,997,239,1
11,103,1133,9.364,.156,.576,1.44,177,653,123,1
8,263,2104,32.875,.154,.549,1.19,325,1156,274,1
8,15,120,1.875,.300,.642,1.57,36,77,23,1
8,26,208,3.250,.264,.620,1.45,55,129,38,1
2,7,14,3.500,.500,.929,3.50,7,13,2,1
7,7,49,1.000,.286,.633,1.56,14,31,9,1
7,30,210,4.286,.295,.876,1.77,62,184,35,1
7,18,126,2.571,.310,.960,1.39,39,121,28,1
8,29,232,3.625,.207,.651,1.60,48,151,30,1
6,20,120,3.333,.175,.792,1.50,21,95,14,1
5,18,90,3.600,.378,.956,1.62,34,86,21,1
5,8,40,1.600,.425,1.00,1.89,17,40,9,1
5,7,35,1.400,.400,.657,2.33,14,23,6,1
5,12,60,2.400,.383,.883,1.92,23,53,12,1
8,126,1008,15.750,.188,.685,1.27,189,690,149,1
8,21,168,2.625,.262,.696,1.52,44,117,29,1
8,99,792,12.375,.199,.662,1.39,158,524,114,1
9,81,729,9.000,.187,.542,1.49,136,395,91,1
6,69,414,11.500,.280,.744,1.40,116,308,83,1
8,80,640,10.000,.184,.544,1.40,118,348,84,1
7,128,896,18.286,.203,.663,1.33,182,594,137,1
1,10,10,10.000,.800,1.00,4.00,8,10,2,1
804,11,8844,.014,.191,.233,15.64,1689,2058,108,4
6,129,774,21.500,.195,.565,1.35,151,437,112,1
5,52,260,10.400,.208,.542,1.35,54,141,40,1
5,12,60,2.400,.317,.750,1.46,19,45,13,1
5,21,105,4.200,.295,.733,1.48,31,77,21,1
5,6,30,1.200,.333,.967,2.50,10,29,4,1
5,38,190,7.600,.426,.989,1.42,81,188,57,1
5,13,65,2.600,.308,.831,1.82,20,54,11,1
5,6,30,1.200,.367,.767,3.67,11,23,3,1
5,15,75,3.000,.400,.947,1.67,30,71,18,1
5,53,265,10.600,.223,.611,1.28,59,162,46,1
5,34,170,6.800,.224,.606,1.31,38,103,29,1
5,30,150,6.000,.360,.947,1.26,54,142,43,1
6,25,150,4.167,.340,.887,1.42,51,133,36,1
6,2,12,.333,.583,1.00,7.00,7,12,1,1
8,12,96,1.500,.208,.771,1.11,20,74,18,1
7,14,98,2.000,.255,.735,1.56,25,72,16,1
7,14,98,2.000,.337,.990,1.65,33,97,20,1
7,8,56,1.143,.357,1.00,2.86,20,56,7,1
7,9,63,1.286,.317,.984,2.22,20,62,9,1
7,4,28,.571,.357,.571,5.00,10,16,2,1
7,32,224,4.571,.339,.786,1.46,76,176,52,1
9,29,261,3.222,.234,.709,1.30,61,185,47,1
5,4,20,.800,.350,.850,1.75,7,17,4,1
5,8,40,1.600,.425,.975,1.55,17,39,11,1
4,11,44,2.750,.364,.955,1.33,16,42,12,1
6,50,300,8.333,.213,.577,1.31,64,173,49,1
6,28,168,4.667,.149,.375,1.47,25,63,17,1
5,43,215,8.600,.233,.800,1.35,50,172,37,1
5,75,375,15.000,.259,.867,1.18,97,325,82,1
4,18,72,4.500,.333,.667,1.71,24,48,14,1
9,16,144,1.778,.222,.479,1.33,32,69,24,1
10,79,790,7.900,.163,.420,1.25,129,332,103,1
9,158,1422,17.556,.217,.535,1.45,308,761,212,1
1,114,114,114.00,.939,1.00,21.40,107,114,5,2
1,41,41,41.000,.927,1.00,12.67,38,41,3,2
4,6,24,1.500,.333,.792,2.00,8,19,4,1
6,49,294,8.167,.241,.633,1.42,71,186,50,1
6,32,192,5.333,.292,.698,1.37,56,134,41,1
7,37,259,5.286,.243,.710,1.34,63,184,47,1
6,19,114,3.167,.254,.956,1.16,29,109,25,1
6,28,168,4.667,.292,.875,1.29,49,147,38,1
6,12,72,2.000,.319,.653,2.09,23,47,11,1
4,28,112,7.000,.455,1.00,1.27,51,112,40,1
1,33,33,33.000,.667,1.00,3.67,22,33,6,2
14,29,406,2.071,.140,.502,1.63,57,204,35,1
1,106,106,106.00,.858,1.00,15.17,91,106,6,2
10,12,120,1.200,.183,.392,2.20,22,47,10,1
9,16,144,1.778,.160,.500,1.92,23,72,12,1
9,16,144,1.778,.208,.542,2.14,30,78,14,1
8,11,88,1.375,.159,.477,1.75,14,42,8,1
7,27,189,3.857,.164,.397,2.58,31,75,12,1
6,6,36,1.000,.306,.556,3.67,11,20,3,1
6,13,78,2.167,.295,.897,1.64,23,70,14,1
7,41,287,5.857,.209,.652,1.36,60,187,44,1
7,41,287,5.857,.220,.756,1.47,63,217,43,1
6,7,42,1.167,.405,.833,1.89,17,35,9,1
6,13,78,2.167,.295,.872,1.44,23,68,16,1
6,41,246,6.833,.232,.927,1.30,57,228,44,1
6,40,240,6.667,.221,.983,1.26,53,236,42,1
6,7,42,1.167,.310,.786,1.86,13,33,7,1
4,12,48,3.000,.146,1.00,1.00,7,48,7,1
7,41,287,5.857,.213,.861,1.33,61,247,46,1
6,40,240,6.667,.313,.996,1.27,75,239,59,1
1,12,12,12.000,.583,1.00,1.75,7,12,4,1
6,11,66,1.833,.333,.803,1.69,22,53,13,1
4,12,48,3.000,.292,1.00,1.40,14,48,10,1
6,41,246,6.833,.224,.850,1.20,55,209,46,1
7,40,280,5.714,.229,.686,1.28,64,192,50,1
9,23,207,2.556,.213,.507,1.57,44,105,28,1
9,23,207,2.556,.246,.570,1.82,51,118,28,1
8,17,136,2.125,.265,.566,1.71,36,77,21,1
7,37,259,5.286,.301,.691,1.81,78,179,43,1
7,54,378,7.714,.267,.619,1.42,101,234,71,1
5,32,160,6.400,.431,.988,1.47,69,158,47,1
5,13,65,2.600,.415,.938,1.69,27,61,16,1
6,17,102,2.833,.255,.745,1.18,26,76,22,1
6,13,78,2.167,.308,.872,1.60,24,68,15,1
6,14,84,2.333,.274,.893,1.64,23,75,14,1
6,14,84,2.333,.274,.929,1.28,23,78,18,1
6,17,102,2.833,.382,.951,1.63,39,97,24,1
5,13,65,2.600,.262,.692,1.42,17,45,12,1
5,13,65,2.600,.246,.831,1.33,16,54,12,1
4,14,56,3.500,.268,.732,1.67,15,41,9,1
6,24,144,4.000,.257,.771,1.42,37,111,26,1
6,13,78,2.167,.282,.936,1.57,22,73,14,1
7,41,287,5.857,.185,.638,1.51,53,183,35,1
7,41,287,5.857,.226,.784,1.48,65,225,44,1
1,27,27,27.000,.407,1.00,1.83,11,27,6,2
1,41,41,41.000,.780,1.00,4.57,32,41,7,2
10,12,120,1.200,.225,.558,2.70,27,67,10,1
9,21,189,2.333,.175,.513,1.65,33,97,20,1
9,15,135,1.667,.178,.556,1.60,24,75,15,1
9,17,153,1.889,.183,.529,1.75,28,81,16,1
10,19,190,1.900,.142,.326,3.00,27,62,9,1
10,12,120,1.200,.142,.317,2.83,17,38,6,1
8,16,128,2.000,.242,.602,1.94,31,77,16,1
7,16,112,2.286,.250,.527,2.00,28,59,14,1
1,22,22,22.000,.500,1.00,1.83,11,22,6,2
3,9,27,3.000,.296,1.00,1.33,8,27,6,1
10,58,580,5.800,.081,.224,1.62,47,130,29,1
7,182,1274,26.000,.203,.620,1.27,259,790,204,1
9,73,657,8.111,.174,.434,1.44,114,285,79,1
9,107,963,11.889,.204,.683,1.42,196,658,138,1
9,18,162,2.000,.278,.716,1.67,45,116,27,1
7,125,875,17.857,.270,.858,1.40,236,751,168,1
10,53,530,5.300,.215,.781,1.44,114,414,79,1
8,43,344,5.375,.212,.721,1.40,73,248,52,1
7,8,56,1.143,.375,.964,1.62,21,54,13,1
8,30,240,3.750,.233,.833,1.24,56,200,45,1
6,59,354,9.833,.268,.692,1.27,95,245,75,1
6,7,42,1.167,.262,.786,1.83,11,33,6,1
5,17,85,3.400,.400,.965,1.31,34,82,26,1
5,3,15,.600,.600,1.00,4.50,9,15,2,1
7,6,42,.857,.476,.881,1.82,20,37,11,1
7,33,231,4.714,.342,.740,1.49,79,171,53,1
7,19,133,2.714,.406,1.00,1.69,54,133,32,1
7,17,119,2.429,.395,.782,1.81,47,93,26,1
7,16,112,2.286,.304,.696,1.36,34,78,25,1
9,19,171,2.111,.269,.643,1.35,46,110,34,1
7,18,126,2.571,.270,.714,1.36,34,90,25,1
6,6,36,1.000,.361,.778,1.63,13,28,8,1
5,11,55,2.200,.345,.873,1.46,19,48,13,1
5,16,80,3.200,.425,1.00,1.36,34,80,25,1
5,8,40,1.600,.600,.975,2.18,24,39,11,1
7,29,203,4.143,.286,.670,1.71,58,136,34,1
9,21,189,2.333,.243,.757,1.31,46,143,35,1
9,46,414,5.111,.242,.737,1.47,100,305,68,1
9,8,72,.889,.264,1.00,1.27,19,72,15,1
9,55,495,6.111,.251,.808,1.43,124,400,87,1
8,23,184,2.875,.277,.832,1.70,51,153,30,1
7,49,343,7.000,.318,.735,1.54,109,252,71,1
5,17,85,3.400,.412,.941,1.75,35,80,20,1
5,3,15,.600,.600,.867,4.50,9,13,2,1
8,26,208,3.250,.250,.808,1.37,52,168,38,1
8,27,216,3.375,.208,.852,1.45,45,184,31,1
7,14,98,2.000,.327,1.00,1.60,32,98,20,1
7,18,126,2.571,.206,.651,2.17,26,82,12,1
7,9,63,1.286,.349,.905,2.20,22,57,10,1
7,4,28,.571,.286,.964,8.00,8,27,1,1
7,14,98,2.000,.296,.898,1.61,29,88,18,1
7,19,133,2.714,.331,.767,1.42,44,102,31,1
8,27,216,3.375,.269,.764,1.29,58,165,45,1
7,4,28,.571,.321,1.00,3.00,9,28,3,1
7,38,266,5.429,.301,.850,1.45,80,226,55,1
7,33,231,4.714,.299,.848,1.44,69,196,48,1
7,9,63,1.286,.365,.857,1.77,23,54,13,1
7,6,42,.857,.452,1.00,1.90,19,42,10,1
7,30,210,4.286,.352,.790,1.54,74,166,48,1
7,8,56,1.143,.286,.732,1.78,16,41,9,1
9,46,414,5.111,.242,.575,1.43,100,238,70,1
9,220,1980,24.444,.230,.758,1.44,456,1501,316,1
8,38,304,4.750,.250,.730,1.38,76,222,55,1
9,251,2259,27.889,.187,.672,1.33,423,1517,317,1
10,151,1510,15.100,.193,.770,1.48,291,1162,197,1
7,29,203,4.143,.305,.837,1.48,62,170,42,1
7,13,91,1.857,.264,.648,1.41,24,59,17,1
7,54,378,7.714,.254,.608,1.39,96,230,69,1
7,7,49,1.000,.408,.857,2.22,20,42,9,1
7,11,77,1.571,.312,.844,1.50,24,65,16,1
9,49,441,5.444,.265,.744,1.60,117,328,73,1
7,27,189,3.857,.280,.947,1.33,53,179,40,1
7,21,147,3.000,.354,.939,1.63,52,138,32,1
7,19,133,2.714,.346,1.00,1.44,46,133,32,1
8,41,328,5.125,.232,.527,1.55,76,173,49,1
8,63,504,7.875,.256,.694,1.52,129,350,85,1
8,47,376,5.875,.221,.702,1.26,83,264,66,1
9,56,504,6.222,.210,.603,1.26,106,304,84,1
9,22,198,2.444,.192,.697,1.31,38,138,29,1
9,5,45,.556,.244,.867,2.20,11,39,5,1
6,22,132,3.667,.326,1.00,1.30,43,132,33,1
7,16,112,2.286,.259,.705,1.38,29,79,21,1
8,81,648,10.125,.221,.591,1.29,143,383,111,1
5,15,75,3.000,.360,.933,1.35,27,70,20,1
5,5,25,1.000,.440,1.00,1.57,11,25,7,1
9,135,1215,15.000,.249,.626,1.56,302,761,193,1
7,21,147,3.000,.340,.850,1.35,50,125,37,1
7,87,609,12.429,.232,.589,1.27,141,359,111,1
7,8,56,1.143,.375,1.00,1.62,21,56,13,1
7,35,245,5.000,.310,1.00,1.55,76,245,49,1
7,14,98,2.000,.388,.847,1.65,38,83,23,1
7,11,77,1.571,.364,.922,1.75,28,71,16,1
7,13,91,1.857,.297,.835,1.69,27,76,16,1
7,9,63,1.286,.317,.810,1.54,20,51,13,1
7,41,287,5.857,.345,.777,1.55,99,223,64,1
7,46,322,6.571,.354,1.00,1.46,114,322,78,1
7,20,140,2.857,.350,.757,1.58,49,106,31,1
5,14,70,2.800,.414,.943,1.38,29,66,21,1
10,262,2620,26.200,.179,.606,1.36,469,1587,344,1
10,49,490,4.900,.196,.751,1.26,96,368,76,1
7,21,147,3.000,.327,.728,1.41,48,107,34,1
9,49,441,5.444,.231,.685,1.46,102,302,70,1
7,23,161,3.286,.248,.944,1.21,40,152,33,1
7,5,35,.714,.257,.571,2.25,9,20,4,1
9,37,333,4.111,.213,.706,1.54,71,235,46,1
6,17,102,2.833,.275,.824,1.33,28,84,21,1
6,11,66,1.833,.303,.712,1.54,20,47,13,1
6,6,36,1.000,.417,.944,1.50,15,34,10,1
9,214,1926,23.778,.230,.748,1.44,443,1440,307,1
7,43,301,6.143,.246,.947,1.32,74,285,56,1
9,56,504,6.222,.196,.617,1.24,99,311,80,1
7,11,77,1.571,.312,.987,1.20,24,76,20,1
7,33,231,4.714,.342,.848,1.98,79,196,40,1
8,23,184,2.875,.310,.880,1.84,57,162,31,1
7,23,161,3.286,.329,1.00,1.39,53,161,38,1
7,11,77,1.571,.351,.922,1.59,27,71,17,1
7,20,140,2.857,.364,.871,1.46,51,122,35,1
7,49,343,7.000,.300,.720,1.34,103,247,77,1
10,38,380,3.800,.195,.550,1.48,74,209,50,1
7,15,105,2.143,.314,1.00,1.57,33,105,21,1
7,66,462,9.429,.294,.924,1.46,136,427,93,1
9,54,486,6.000,.270,.852,1.49,131,414,88,1
9,49,441,5.444,.272,.791,1.38,120,349,87,1
8,11,88,1.375,.250,.830,1.29,22,73,17,1
7,36,252,5.143,.365,.960,1.67,92,242,55,1
7,29,203,4.143,.360,.936,1.40,73,190,52,1
7,11,77,1.571,.351,.961,1.35,27,74,20,1
7,26,182,3.714,.352,1.00,1.36,64,182,47,1
7,9,63,1.286,.286,.968,1.20,18,61,15,1
7,31,217,4.429,.276,.788,1.25,60,171,48,1
7,9,63,1.286,.381,.952,1.85,24,60,13,1
8,27,216,3.375,.236,.685,1.31,51,148,39,1
8,4,32,.500,.375,1.00,2.40,12,32,5,1
8,5,40,.625,.375,.950,1.67,15,38,9,1
5,5,25,1.000,.520,1.00,2.17,13,25,6,1
7,15,105,2.143,.229,.981,1.41,24,103,17,1
7,37,259,5.286,.305,1.00,1.46,79,259,54,1
7,9,63,1.286,.302,.905,1.46,19,57,13,1
7,11,77,1.571,.364,1.00,1.33,28,77,21,1
7,19,133,2.714,.361,.917,1.50,48,122,32,1
7,8,56,1.143,.357,.893,2.22,20,50,9,1
9,55,495,6.111,.259,.699,1.47,128,346,87,1
7,29,203,4.143,.365,.946,2.00,74,192,37,1
7,4,28,.571,.250,.857,2.33,7,24,3,1
7,14,98,2.000,.337,.980,1.83,33,96,18,1
7,17,119,2.429,.286,.916,1.31,34,109,26,1
7,38,266,5.429,.226,.639,1.40,60,170,43,1
8,23,184,2.875,.239,.554,1.76,44,102,25,1
9,41,369,4.556,.244,.661,1.32,90,244,68,1
6,33,198,5.500,.268,.848,1.39,53,168,38,1
6,4,24,.667,.458,1.00,2.20,11,24,5,1
6,19,114,3.167,.360,.711,1.58,41,81,26,1
6,49,294,8.167,.286,.694,1.38,84,204,61,1
7,13,91,1.857,.297,.857,1.17,27,78,23,1
7,13,91,1.857,.374,.978,1.79,34,89,19,1
7,30,210,4.286,.305,.871,1.64,64,183,39,1
7,14,98,2.000,.378,1.00,1.95,37,98,19,1
7,14,98,2.000,.337,.786,1.38,33,77,24,1
7,18,126,2.571,.365,.968,2.00,46,122,23,1
7,7,49,1.000,.245,1.00,1.71,12,49,7,1
7,26,182,3.714,.269,.929,1.23,49,169,40,1
6,17,102,2.833,.324,1.00,1.32,33,102,25,1
6,9,54,1.500,.296,.796,1.23,16,43,13,1
6,26,156,4.333,.340,.974,1.33,53,152,40,1
5,5,25,1.000,.360,1.00,1.29,9,25,7,1
9,48,432,5.333,.273,.685,1.42,118,296,83,1
7,31,217,4.429,.313,.853,1.58,68,185,43,1
7,42,294,6.000,.333,.844,1.46,98,248,67,1
7,46,322,6.571,.304,.745,1.53,98,240,64,1
5,11,55,2.200,.455,1.00,1.67,25,55,15,1
9,21,189,2.333,.206,.778,1.22,39,147,32,1
9,58,522,6.444,.203,.531,1.34,106,277,79,1
9,49,441,5.444,.265,.653,1.36,117,288,86,1
9,8,72,.889,.222,.736,1.78,16,53,9,1
9,22,198,2.444,.227,.934,1.61,45,185,28,1
7,32,224,4.571,.232,.804,1.30,52,180,40,1
9,19,171,2.111,.222,.673,1.31,38,115,29,1
6,18,108,3.000,.306,.787,1.32,33,85,25,1
7,15,105,2.143,.333,.838,1.46,35,88,24,1
7,16,112,2.286,.304,.955,1.13,34,107,30,1
9,32,288,3.556,.240,.913,1.50,69,263,46,1
7,56,392,8.000,.227,.602,1.25,89,236,71,1
8,16,128,2.000,.234,.922,1.58,30,118,19,1
6,7,42,1.167,.262,.786,1.38,11,33,8,1
6,33,198,5.500,.247,.813,1.20,49,161,41,1
6,10,60,1.667,.333,.750,1.54,20,45,13,1
6,25,150,4.167,.273,.787,1.17,41,118,35,1
9,19,171,2.111,.251,.977,1.34,43,167,32,1
9,29,261,3.222,.234,.889,1.39,61,232,44,1
9,49,441,5.444,.247,.721,1.51,109,318,72,1
7,13,91,1.857,.363,.934,2.20,33,85,15,1
8,57,456,7.125,.268,.798,1.45,122,364,84,1
8,54,432,6.750,.275,.778,1.37,119,336,87,1
8,11,88,1.375,.318,1.00,1.40,28,88,20,1
7,24,168,3.429,.274,.661,1.48,46,111,31,1
7,38,266,5.429,.259,.688,1.50,69,183,46,1
9,23,207,2.556,.222,.816,1.35,46,169,34,1
9,49,441,5.444,.222,.687,1.27,98,303,77,1
7,43,301,6.143,.249,.807,1.29,75,243,58,1
7,8,56,1.143,.357,.804,2.00,20,45,10,1
7,19,133,2.714,.398,.977,1.77,53,130,30,1
5,7,35,1.400,.429,.971,1.36,15,34,11,1
5,6,30,1.200,.300,1.00,1.80,9,30,5,1
10,262,2620,26.200,.190,.601,1.32,499,1575,377,1
7,17,119,2.429,.353,.790,1.56,42,94,27,1
7,9,63,1.286,.349,.746,1.83,22,47,12,1
7,40,280,5.714,.336,.971,1.57,94,272,60,1
7,48,336,6.857,.330,.821,1.44,111,276,77,1
8,25,200,3.125,.285,.880,1.36,57,176,42,1
7,13,91,1.857,.396,1.00,1.33,36,91,27,1
7,16,112,2.286,.339,1.00,1.41,38,112,27,1
7,38,266,5.429,.248,.955,1.32,66,254,50,1
5,7,35,1.400,.457,1.00,2.00,16,35,8,1
10,9,90,.900,.222,1.00,1.25,20,90,16,1
10,47,470,4.700,.198,.781,1.29,93,367,72,1
8,16,128,2.000,.258,.945,1.18,33,121,28,1
8,6,48,.750,.313,.813,1.88,15,39,8,1
7,26,182,3.714,.302,.912,1.53,55,166,36,1
9,65,585,7.222,.222,.786,1.35,130,460,96,1
7,18,126,2.571,.270,.825,1.31,34,104,26,1
8,21,168,2.625,.232,.643,1.30,39,108,30,1
5,13,65,2.600,.400,1.00,1.18,26,65,22,1
8,93,744,11.625,.185,.538,1.24,138,400,111,1
7,21,147,3.000,.293,.810,1.34,43,119,32,1
7,27,189,3.857,.079,.175,2.50,15,33,6,1
7,44,308,6.286,.218,.734,1.26,67,226,53,1
7,19,133,2.714,.248,.624,1.50,33,83,22,1
7,24,168,3.429,.232,.851,1.22,39,143,32,1
7,39,273,5.571,.253,.853,1.33,69,233,52,1
7,11,77,1.571,.325,.935,1.39,25,72,18,1
7,15,105,2.143,.229,.886,1.60,24,93,15,1
7,13,91,1.857,.363,1.00,1.94,33,91,17,1
7,4,28,.571,.286,1.00,2.00,8,28,4,1
7,18,126,2.571,.365,.952,1.53,46,120,30,1
7,13,91,1.857,.330,.835,1.43,30,76,21,1
7,40,280,5.714,.336,.782,1.47,94,219,64,1
9,47,423,5.222,.279,.773,1.53,118,327,77,1
7,7,49,1.000,.347,.980,2.13,17,48,8,1
7,11,77,1.571,.403,.974,1.48,31,75,21,1
9,30,270,3.333,.270,.796,1.40,73,215,52,1
7,20,140,2.857,.257,.879,1.13,36,123,32,1
7,11,77,1.571,.364,.727,1.56,28,56,18,1
7,23,161,3.286,.329,.845,1.66,53,136,32,1
7,9,63,1.286,.333,.952,1.40,21,60,15,1
7,13,91,1.857,.308,.934,1.65,28,85,17,1
7,19,133,2.714,.286,.669,1.36,38,89,28,1
5,28,140,5.600,.307,.814,1.30,43,114,33,1
5,32,160,6.400,.350,.863,1.33,56,138,42,1
5,24,120,4.800,.375,.950,1.45,45,114,31,1
5,19,95,3.800,.442,.937,1.50,42,89,28,1
9,54,486,6.000,.191,.741,1.24,93,360,75,1
9,39,351,4.333,.239,.624,1.53,84,219,55,1
7,57,399,8.143,.273,.659,1.30,109,263,84,1
7,10,70,1.429,.329,1.00,1.77,23,70,13,1
7,32,224,4.571,.277,.830,1.41,62,186,44,1
6,6,36,1.000,.361,1.00,1.44,13,36,9,1
6,21,126,3.500,.349,1.00,1.33,44,126,33,1
6,7,42,1.167,.357,.762,2.14,15,32,7,1
7,5,35,.714,.371,.829,1.86,13,29,7,1
7,13,91,1.857,.319,.846,1.61,29,77,18,1
7,9,63,1.286,.381,.857,2.00,24,54,12,1
7,35,245,5.000,.302,.939,1.48,74,230,50,1
7,14,98,2.000,.357,.969,1.52,35,95,23,1
7,11,77,1.571,.390,.792,1.58,30,61,19,1
7,20,140,2.857,.379,1.00,1.61,53,140,33,1
7,31,217,4.429,.318,.839,1.35,69,182,51,1
7,23,161,3.286,.286,.677,1.59,46,109,29,1
7,39,273,5.571,.293,.733,1.43,80,200,56,1
7,7,49,1.000,.245,.878,1.71,12,43,7,1
8,39,312,4.875,.224,.824,1.21,70,257,58,1
7,54,378,7.714,.235,.799,1.53,89,302,58,1
7,32,224,4.571,.268,.830,1.28,60,186,47,1
7,51,357,7.286,.322,.784,1.49,115,280,77,1
7,48,336,6.857,.268,.652,1.61,90,219,56,1
7,13,91,1.857,.286,.989,1.73,26,90,15,1
7,8,56,1.143,.268,.679,1.15,15,38,13,1
7,17,119,2.429,.227,.891,1.50,27,106,18,1
7,10,70,1.429,.286,.829,1.33,20,58,15,1
7,11,77,1.571,.286,.909,1.29,22,70,17,1
10,13,130,1.300,.231,.800,1.76,30,104,17,1
6,11,66,1.833,.364,.955,1.33,24,63,18,1
7,19,133,2.714,.346,.842,1.77,46,112,26,1
7,14,98,2.000,.214,.786,1.11,21,77,19,1
8,20,160,2.500,.206,.813,1.38,33,130,24,1
6,26,156,4.333,.288,.872,1.29,45,136,35,1
8,30,240,3.750,.225,.671,1.23,54,161,44,1
8,10,80,1.250,.238,.925,1.73,19,74,11,1
7,13,91,1.857,.341,.846,1.82,31,77,17,1
7,39,273,5.571,.330,.853,1.43,90,233,63,1
5,18,90,3.600,.467,.867,1.91,42,78,22,1
6,16,96,2.667,.198,.760,2.38,19,73,8,1
7,27,189,3.857,.370,.841,1.79,70,159,39,1
7,8,56,1.143,.357,.786,1.54,20,44,13,1
7,17,119,2.429,.261,.950,1.82,31,113,17,1
7,11,77,1.571,.364,.922,2.00,28,71,14,1
7,11,77,1.571,.299,.779,1.64,23,60,14,1
7,23,161,3.286,.342,.783,1.45,55,126,38,1
7,7,49,1.000,.327,1.00,1.33,16,49,12,1
7,8,56,1.143,.339,.875,2.38,19,49,8,1
6,13,78,2.167,.269,.667,1.50,21,52,14,1
7,16,112,2.286,.286,.705,1.88,32,79,17,1
6,28,168,4.667,.369,.780,1.77,62,131,35,1
7,34,238,4.857,.273,.584,1.55,65,139,42,1
7,18,126,2.571,.286,.627,1.57,36,79,23,1
7,11,77,1.571,.351,.727,1.50,27,56,18,1
7,21,147,3.000,.327,.912,1.71,48,134,28,1
7,14,98,2.000,.286,.755,1.56,28,74,18,1
7,52,364,7.429,.272,.788,1.22,99,287,81,1
1,14,14,14.000,.571,1.00,2.67,8,14,3,1
5,18,90,3.600,.400,.811,1.64,36,73,22,1
5,36,180,7.200,.406,.961,1.35,73,173,54,1
7,11,77,1.571,.377,.948,1.38,29,73,21,1
9,29,261,3.222,.287,.747,1.53,75,195,49,1
9,37,333,4.111,.228,.586,1.27,76,195,60,1
7,16,112,2.286,.295,.920,1.18,33,103,28,1
8,26,208,3.250,.236,.779,1.26,49,162,39,1
7,11,77,1.571,.299,.727,1.35,23,56,17,1
5,13,65,2.600,.477,.938,1.48,31,61,21,1
5,7,35,1.400,.543,1.00,2.11,19,35,9,1
5,14,70,2.800,.457,1.00,1.52,32,70,21,1
7,30,210,4.286,.300,.886,1.43,63,186,44,1
