% 17x17x2x2 tables of counts in GLIM-ready format used for the analyses
% in Biblarz, Timothy J., and Adrian E. Raftery. 1993. "The Effects of
% Family Disruption on Social Mobility." American Sociological Review
% (In press). For further details of the data, see this reference.
%  Column 1 is father's occupation, coded as follows:
%    17. Professional, Self-Employed
%    16. Professional-Salaried
%    15. Manager
%    14. Salesman-Nonretail
%    13. Proprietor
%    12. Clerk
%    11. Salesman-Retail
%    10. Craftsman-Manufacturing
%     9. Craftsmen-Other
%     8. Craftsman-Construction
%     7. Service Worker
%     6. Operative-Nonmanufacturing
%     5. Operative-Manufacturing
%     4. Laborer-Manufacturing
%     3. Laborer-Nonmanufacturing
%     2. Farmer/Farm Manager
%     1. Farm Laborer
%  Column 2 is son's occupation, coded in the same way as father's.
%  Column 3 is family structure, coded 1=intact family background and
%     2=nonintact family background.
%  Column 4 is race, coded 1=white and 2=black.
%  Column 5 is counts for son's first occupation.
%  Column 6 is counts for son's current occupation.
% The counts have been weighted to take account of the survey 
% design, which is why they are not integers. 
% ************************************************************
% ***********************************************************
% This file was constructed from publicly available data collected
% by David Featherman and Robert Hauser in 1973: the "Occupational
% Change in a Generation II" (OCG II) Survey. Permission is hereby given to
% use the above data for non-commercial scholarly and teaching purposes.
% If these data are used in a published article or book, 
% the authors, the original data (in the form given in
% Biblarz and Raftery (1993), cited above), and StatLib should
% all be acknowledged.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation socmob

@attribute fathers_occupation {Clerk,Craftsman-Construction,Craftsman-Manufacturing,Craftsmen-Other,Farm_Laborer,Farmer/Farm_Manager,Laborer-Manufacturing,Laborer-Nonmanufacturing,Manager,Operative-Manufacturing,Operative-Nonmanufacturing,Professional-Salaried,Professional_Self-Employed,Proprietor,Salesman-Nonretail,Salesman-Retail,Service_Worker}
@attribute sons_occupation {Clerk,Craftsman-Construction,Craftsman-Manufacturing,Craftsmen-Other,Farm_Laborer,Farmer/Farm_Manager,Laborer-Manufacturing,Laborer-Nonmanufacturing,Manager,Operative-Manufacturing,Operative-Nonmanufacturing,Professional-Salaried,Professional_Self-Employed,Proprietor,Salesman-Nonretail,Salesman-Retail,Service_Worker}
@attribute family_structure {intact,nonintact}
@attribute race {black,white}
@attribute counts_for_sons_first_occupation REAL
@attribute counts_for_sons_current_occupation REAL

@data
Proprietor,Professional_Self-Employed,nonintact,white,1.5,1.5
Proprietor,Professional-Salaried,nonintact,white,13.3,13.3
Proprietor,Manager,nonintact,white,6.5,16.8
Proprietor,Salesman-Nonretail,nonintact,white,4,6.3
Proprietor,Proprietor,nonintact,white,3,8.3
Proprietor,Clerk,nonintact,white,10.4,5.9
Proprietor,Salesman-Retail,nonintact,white,5,3.2
Proprietor,Craftsman-Manufacturing,nonintact,white,1.2,5.9
Proprietor,Craftsmen-Other,nonintact,white,6.5,6.4
Proprietor,Craftsman-Construction,nonintact,white,3.7,6
Proprietor,Service_Worker,nonintact,white,4.9,6.2
Proprietor,Operative-Nonmanufacturing,nonintact,white,7.6,7
Proprietor,Operative-Manufacturing,nonintact,white,18.1,8.3
Proprietor,Laborer-Manufacturing,nonintact,white,3,0.9
Proprietor,Laborer-Nonmanufacturing,nonintact,white,7.3,1.5
Proprietor,Farmer/Farm_Manager,nonintact,white,0.4,1.7
Proprietor,Farm_Laborer,nonintact,white,2.6,0.6
Clerk,Professional_Self-Employed,nonintact,white,1.4,2.1
Clerk,Professional-Salaried,nonintact,white,40.5,36.8
Clerk,Manager,nonintact,white,7.5,34.8
Clerk,Salesman-Nonretail,nonintact,white,4.2,8.7
Clerk,Proprietor,nonintact,white,0,4.1
Clerk,Clerk,nonintact,white,26.5,26
Clerk,Salesman-Retail,nonintact,white,14.4,7.9
Clerk,Craftsman-Manufacturing,nonintact,white,4.8,16
Clerk,Craftsmen-Other,nonintact,white,7,15.9
Clerk,Craftsman-Construction,nonintact,white,9.2,11.8
Clerk,Service_Worker,nonintact,white,12.6,10.8
Clerk,Operative-Nonmanufacturing,nonintact,white,16.3,11.2
Clerk,Operative-Manufacturing,nonintact,white,23.8,16.1
Clerk,Laborer-Manufacturing,nonintact,white,5.6,0.7
Clerk,Laborer-Nonmanufacturing,nonintact,white,11,6.1
Clerk,Farmer/Farm_Manager,nonintact,white,0.8,0.8
Clerk,Farm_Laborer,nonintact,white,1.4,0.7
Salesman-Retail,Professional_Self-Employed,nonintact,white,0,0
Salesman-Retail,Professional-Salaried,nonintact,white,16.2,12.9
Salesman-Retail,Manager,nonintact,white,3.3,11.8
Salesman-Retail,Salesman-Nonretail,nonintact,white,2.5,3.3
Salesman-Retail,Proprietor,nonintact,white,0,3.2
Salesman-Retail,Clerk,nonintact,white,11.4,8.8
Salesman-Retail,Salesman-Retail,nonintact,white,5.9,5.7
Salesman-Retail,Craftsman-Manufacturing,nonintact,white,2.3,8.2
Salesman-Retail,Craftsmen-Other,nonintact,white,5.5,6.5
Salesman-Retail,Craftsman-Construction,nonintact,white,2.3,2.8
Salesman-Retail,Service_Worker,nonintact,white,4,7.2
Salesman-Retail,Operative-Nonmanufacturing,nonintact,white,10.6,7.2
Salesman-Retail,Operative-Manufacturing,nonintact,white,8.4,5.9
Salesman-Retail,Laborer-Manufacturing,nonintact,white,1.6,0.7
Salesman-Retail,Laborer-Nonmanufacturing,nonintact,white,6.8,0.8
Salesman-Retail,Farmer/Farm_Manager,nonintact,white,0,0.7
Salesman-Retail,Farm_Laborer,nonintact,white,0,0
Craftsman-Manufacturing,Professional_Self-Employed,nonintact,white,0,0.8
Craftsman-Manufacturing,Professional-Salaried,nonintact,white,10.6,12.2
Craftsman-Manufacturing,Manager,nonintact,white,2.6,12.3
Craftsman-Manufacturing,Salesman-Nonretail,nonintact,white,0.8,2.6
Craftsman-Manufacturing,Proprietor,nonintact,white,0,1.6
Craftsman-Manufacturing,Clerk,nonintact,white,9.6,7.5
Craftsman-Manufacturing,Salesman-Retail,nonintact,white,3.7,0.7
Craftsman-Manufacturing,Craftsman-Manufacturing,nonintact,white,7,7.9
Craftsman-Manufacturing,Craftsmen-Other,nonintact,white,3.4,6.5
Craftsman-Manufacturing,Craftsman-Construction,nonintact,white,2.5,5.1
Craftsman-Manufacturing,Service_Worker,nonintact,white,4.8,6.2
Craftsman-Manufacturing,Operative-Nonmanufacturing,nonintact,white,9.2,6
Craftsman-Manufacturing,Operative-Manufacturing,nonintact,white,16.8,12.7
Craftsman-Manufacturing,Laborer-Manufacturing,nonintact,white,3.2,0.8
Craftsman-Manufacturing,Laborer-Nonmanufacturing,nonintact,white,3.1,0.8
Craftsman-Manufacturing,Farmer/Farm_Manager,nonintact,white,0.7,0.9
Craftsman-Manufacturing,Farm_Laborer,nonintact,white,3.1,0
Craftsmen-Other,Professional_Self-Employed,nonintact,white,0,0
Craftsmen-Other,Professional-Salaried,nonintact,white,15.1,17
Craftsmen-Other,Manager,nonintact,white,4.1,11.1
Craftsmen-Other,Salesman-Nonretail,nonintact,white,1.7,3.2
Craftsmen-Other,Proprietor,nonintact,white,0.8,2.5
Craftsmen-Other,Clerk,nonintact,white,8.8,6.6
Craftsmen-Other,Salesman-Retail,nonintact,white,4.2,0.9
Craftsmen-Other,Craftsman-Manufacturing,nonintact,white,3.9,10.4
Craftsmen-Other,Craftsmen-Other,nonintact,white,8.6,14.6
Craftsmen-Other,Craftsman-Construction,nonintact,white,4.3,6.4
Craftsmen-Other,Service_Worker,nonintact,white,6.5,7.1
Craftsmen-Other,Operative-Nonmanufacturing,nonintact,white,18.3,11.2
Craftsmen-Other,Operative-Manufacturing,nonintact,white,11.5,8.7
Craftsmen-Other,Laborer-Manufacturing,nonintact,white,5.8,0
Craftsmen-Other,Laborer-Nonmanufacturing,nonintact,white,6,4.6
Craftsmen-Other,Farmer/Farm_Manager,nonintact,white,0,0.8
Craftsmen-Other,Farm_Laborer,nonintact,white,5,0.8
Craftsman-Construction,Professional_Self-Employed,nonintact,white,0,0
Craftsman-Construction,Professional-Salaried,nonintact,white,4.6,10
Craftsman-Construction,Manager,nonintact,white,1.9,11.4
Craftsman-Construction,Salesman-Nonretail,nonintact,white,0.9,4.8
Craftsman-Construction,Proprietor,nonintact,white,0.8,1.7
Craftsman-Construction,Clerk,nonintact,white,10.4,6.8
Craftsman-Construction,Salesman-Retail,nonintact,white,2.3,0.8
Craftsman-Construction,Craftsman-Manufacturing,nonintact,white,6.6,2.8
Craftsman-Construction,Craftsmen-Other,nonintact,white,5.8,9.3
Craftsman-Construction,Craftsman-Construction,nonintact,white,8.1,14.6
Craftsman-Construction,Service_Worker,nonintact,white,3.8,4.2
Craftsman-Construction,Operative-Nonmanufacturing,nonintact,white,12.8,10.1
Craftsman-Construction,Operative-Manufacturing,nonintact,white,13,8.8
Craftsman-Construction,Laborer-Manufacturing,nonintact,white,0.9,0
Craftsman-Construction,Laborer-Nonmanufacturing,nonintact,white,14,2.9
Craftsman-Construction,Farmer/Farm_Manager,nonintact,white,0,0.7
Craftsman-Construction,Farm_Laborer,nonintact,white,4.4,0.5
Service_Worker,Professional_Self-Employed,nonintact,white,4.2,3
Service_Worker,Professional-Salaried,nonintact,white,30.5,32.9
Service_Worker,Manager,nonintact,white,13.3,48.5
Service_Worker,Salesman-Nonretail,nonintact,white,3,11.9
Service_Worker,Proprietor,nonintact,white,0.9,13.9
Service_Worker,Clerk,nonintact,white,40.7,19.1
Service_Worker,Salesman-Retail,nonintact,white,15.6,6.7
Service_Worker,Craftsman-Manufacturing,nonintact,white,13.7,20.6
Service_Worker,Craftsmen-Other,nonintact,white,22.9,36.5
Service_Worker,Craftsman-Construction,nonintact,white,13.1,19.2
Service_Worker,Service_Worker,nonintact,white,21.5,31.2
Service_Worker,Operative-Nonmanufacturing,nonintact,white,37.5,28.9
Service_Worker,Operative-Manufacturing,nonintact,white,39.3,39
Service_Worker,Laborer-Manufacturing,nonintact,white,13,6.3
Service_Worker,Laborer-Nonmanufacturing,nonintact,white,36.2,19.2
Service_Worker,Farmer/Farm_Manager,nonintact,white,0.9,0.8
Service_Worker,Farm_Laborer,nonintact,white,18.9,3
Operative-Nonmanufacturing,Professional_Self-Employed,nonintact,white,0.7,1.5
Operative-Nonmanufacturing,Professional-Salaried,nonintact,white,12.5,14
Operative-Nonmanufacturing,Manager,nonintact,white,6,19.4
Operative-Nonmanufacturing,Salesman-Nonretail,nonintact,white,0.8,4
Operative-Nonmanufacturing,Proprietor,nonintact,white,0,6.2
Operative-Nonmanufacturing,Clerk,nonintact,white,19.5,14.1
Operative-Nonmanufacturing,Salesman-Retail,nonintact,white,8.4,2.6
Operative-Nonmanufacturing,Craftsman-Manufacturing,nonintact,white,8,16.5
Operative-Nonmanufacturing,Craftsmen-Other,nonintact,white,11.1,23.4
Operative-Nonmanufacturing,Craftsman-Construction,nonintact,white,4.1,13.5
Operative-Nonmanufacturing,Service_Worker,nonintact,white,11.1,10.9
Operative-Nonmanufacturing,Operative-Nonmanufacturing,nonintact,white,51.5,30.7
Operative-Nonmanufacturing,Operative-Manufacturing,nonintact,white,23,18.3
Operative-Nonmanufacturing,Laborer-Manufacturing,nonintact,white,8.2,2
Operative-Nonmanufacturing,Laborer-Nonmanufacturing,nonintact,white,13,10.5
Operative-Nonmanufacturing,Farmer/Farm_Manager,nonintact,white,1.7,0.8
Operative-Nonmanufacturing,Farm_Laborer,nonintact,white,7.1,2.2
Operative-Manufacturing,Professional_Self-Employed,nonintact,white,1.6,2
Operative-Manufacturing,Professional-Salaried,nonintact,white,25.7,25
Operative-Manufacturing,Manager,nonintact,white,8,24.7
Operative-Manufacturing,Salesman-Nonretail,nonintact,white,5.6,12.1
Operative-Manufacturing,Proprietor,nonintact,white,0.7,10.1
Operative-Manufacturing,Clerk,nonintact,white,29.7,22.6
Operative-Manufacturing,Salesman-Retail,nonintact,white,6.2,5.6
Operative-Manufacturing,Craftsman-Manufacturing,nonintact,white,14.1,34
Operative-Manufacturing,Craftsmen-Other,nonintact,white,14.4,22.7
Operative-Manufacturing,Craftsman-Construction,nonintact,white,7,17.5
Operative-Manufacturing,Service_Worker,nonintact,white,10.8,10.5
Operative-Manufacturing,Operative-Nonmanufacturing,nonintact,white,30.4,20.2
Operative-Manufacturing,Operative-Manufacturing,nonintact,white,68.3,49.9
Operative-Manufacturing,Laborer-Manufacturing,nonintact,white,13.4,8.9
Operative-Manufacturing,Laborer-Nonmanufacturing,nonintact,white,22.3,10.2
Operative-Manufacturing,Farmer/Farm_Manager,nonintact,white,3.3,1
Operative-Manufacturing,Farm_Laborer,nonintact,white,3.2,0
Laborer-Manufacturing,Professional_Self-Employed,nonintact,white,0,0
Laborer-Manufacturing,Professional-Salaried,nonintact,white,1.8,2.3
Laborer-Manufacturing,Manager,nonintact,white,0.8,4.2
Laborer-Manufacturing,Salesman-Nonretail,nonintact,white,1,1.7
Laborer-Manufacturing,Proprietor,nonintact,white,0,0
Laborer-Manufacturing,Clerk,nonintact,white,2.3,0.9
Laborer-Manufacturing,Salesman-Retail,nonintact,white,2.4,0.7
Laborer-Manufacturing,Craftsman-Manufacturing,nonintact,white,0.4,4
Laborer-Manufacturing,Craftsmen-Other,nonintact,white,1.5,4.8
Laborer-Manufacturing,Craftsman-Construction,nonintact,white,0.8,4.8
Laborer-Manufacturing,Service_Worker,nonintact,white,2.5,1.7
Laborer-Manufacturing,Operative-Nonmanufacturing,nonintact,white,3,2
Laborer-Manufacturing,Operative-Manufacturing,nonintact,white,8.8,3.5
Laborer-Manufacturing,Laborer-Manufacturing,nonintact,white,5.2,0.9
Laborer-Manufacturing,Laborer-Nonmanufacturing,nonintact,white,1.4,1.7
Laborer-Manufacturing,Farmer/Farm_Manager,nonintact,white,0,0
Laborer-Manufacturing,Farm_Laborer,nonintact,white,0.4,0
Laborer-Nonmanufacturing,Professional_Self-Employed,nonintact,white,0,0.9
Laborer-Nonmanufacturing,Professional-Salaried,nonintact,white,2.6,4.2
Laborer-Nonmanufacturing,Manager,nonintact,white,0,6.1
Laborer-Nonmanufacturing,Salesman-Nonretail,nonintact,white,0,0.7
Laborer-Nonmanufacturing,Proprietor,nonintact,white,0,3.7
Laborer-Nonmanufacturing,Clerk,nonintact,white,5.4,3.7
Laborer-Nonmanufacturing,Salesman-Retail,nonintact,white,1.6,0.7
Laborer-Nonmanufacturing,Craftsman-Manufacturing,nonintact,white,6.6,6.8
Laborer-Nonmanufacturing,Craftsmen-Other,nonintact,white,0.8,7.8
Laborer-Nonmanufacturing,Craftsman-Construction,nonintact,white,1.6,2
Laborer-Nonmanufacturing,Service_Worker,nonintact,white,0.7,2.2
Laborer-Nonmanufacturing,Operative-Nonmanufacturing,nonintact,white,6.9,8.9
Laborer-Nonmanufacturing,Operative-Manufacturing,nonintact,white,7.3,7.2
Laborer-Nonmanufacturing,Laborer-Manufacturing,nonintact,white,2.4,0
Laborer-Nonmanufacturing,Laborer-Nonmanufacturing,nonintact,white,15,3.6
Laborer-Nonmanufacturing,Farmer/Farm_Manager,nonintact,white,0,0.8
Laborer-Nonmanufacturing,Farm_Laborer,nonintact,white,3.4,1.2
Farmer/Farm_Manager,Professional_Self-Employed,nonintact,white,0.8,0.8
Farmer/Farm_Manager,Professional-Salaried,nonintact,white,16.9,17.6
Farmer/Farm_Manager,Manager,nonintact,white,5.1,23.2
Farmer/Farm_Manager,Salesman-Nonretail,nonintact,white,4.1,4.8
Farmer/Farm_Manager,Proprietor,nonintact,white,0.8,16.1
Farmer/Farm_Manager,Clerk,nonintact,white,8.6,8.6
Farmer/Farm_Manager,Salesman-Retail,nonintact,white,8.7,4
Farmer/Farm_Manager,Craftsman-Manufacturing,nonintact,white,6.2,25.5
Farmer/Farm_Manager,Craftsmen-Other,nonintact,white,12.8,25.6
Farmer/Farm_Manager,Craftsman-Construction,nonintact,white,14.7,31.1
Farmer/Farm_Manager,Service_Worker,nonintact,white,10.1,29.9
Farmer/Farm_Manager,Operative-Nonmanufacturing,nonintact,white,29.7,31.9
Farmer/Farm_Manager,Operative-Manufacturing,nonintact,white,37.1,39.8
Farmer/Farm_Manager,Laborer-Manufacturing,nonintact,white,17,7.5
Farmer/Farm_Manager,Laborer-Nonmanufacturing,nonintact,white,28,12.5
Farmer/Farm_Manager,Farmer/Farm_Manager,nonintact,white,29,30.6
Farmer/Farm_Manager,Farm_Laborer,nonintact,white,88.6,10.3
Farm_Laborer,Professional_Self-Employed,nonintact,white,0,0
Farm_Laborer,Professional-Salaried,nonintact,white,5.5,3.2
Farm_Laborer,Manager,nonintact,white,0,5.1
Farm_Laborer,Salesman-Nonretail,nonintact,white,0,3.2
Farm_Laborer,Proprietor,nonintact,white,0,3.2
Farm_Laborer,Clerk,nonintact,white,5.7,2.8
Farm_Laborer,Salesman-Retail,nonintact,white,2.1,0.9
Farm_Laborer,Craftsman-Manufacturing,nonintact,white,3.7,10.9
Farm_Laborer,Craftsmen-Other,nonintact,white,8.8,13.3
Farm_Laborer,Craftsman-Construction,nonintact,white,0.7,9.1
Farm_Laborer,Service_Worker,nonintact,white,2.4,7.4
Farm_Laborer,Operative-Nonmanufacturing,nonintact,white,5.1,13.6
Farm_Laborer,Operative-Manufacturing,nonintact,white,9.3,18.3
Farm_Laborer,Laborer-Manufacturing,nonintact,white,8.1,3.5
Farm_Laborer,Laborer-Nonmanufacturing,nonintact,white,9.4,4.8
Farm_Laborer,Farmer/Farm_Manager,nonintact,white,2,5.6
Farm_Laborer,Farm_Laborer,nonintact,white,46.2,7.9
Professional_Self-Employed,Professional_Self-Employed,intact,black,1.2,1.4
Professional_Self-Employed,Professional-Salaried,intact,black,0.9,0.5
Professional_Self-Employed,Manager,intact,black,0.5,0
Professional_Self-Employed,Salesman-Nonretail,intact,black,0,0.5
Professional_Self-Employed,Proprietor,intact,black,0,0
Professional_Self-Employed,Clerk,intact,black,1.1,0.8
Professional_Self-Employed,Salesman-Retail,intact,black,0.6,0
Professional_Self-Employed,Craftsman-Manufacturing,intact,black,0,0.3
Professional_Self-Employed,Craftsmen-Other,intact,black,0,0.5
Professional_Self-Employed,Craftsman-Construction,intact,black,0,0
Professional_Self-Employed,Service_Worker,intact,black,0,0.5
Professional_Self-Employed,Operative-Nonmanufacturing,intact,black,0,0.6
Professional_Self-Employed,Operative-Manufacturing,intact,black,0.4,1
Professional_Self-Employed,Laborer-Manufacturing,intact,black,0,0
Professional_Self-Employed,Laborer-Nonmanufacturing,intact,black,0,0
Professional_Self-Employed,Farmer/Farm_Manager,intact,black,0,0
Professional_Self-Employed,Farm_Laborer,intact,black,0.5,0
Professional-Salaried,Professional_Self-Employed,intact,black,0.6,1.7
Professional-Salaried,Professional-Salaried,intact,black,8.6,8.3
Professional-Salaried,Manager,intact,black,2,3.1
Professional-Salaried,Salesman-Nonretail,intact,black,0.9,2.8
Professional-Salaried,Proprietor,intact,black,0,0
Professional-Salaried,Clerk,intact,black,2.6,3
Professional-Salaried,Salesman-Retail,intact,black,1,1.9
Professional-Salaried,Craftsman-Manufacturing,intact,black,0.6,0
Professional-Salaried,Craftsmen-Other,intact,black,0,0.3
Professional-Salaried,Craftsman-Construction,intact,black,0,0
Professional-Salaried,Service_Worker,intact,black,3.6,3.1
Professional-Salaried,Operative-Nonmanufacturing,intact,black,1.7,1.9
Professional-Salaried,Operative-Manufacturing,intact,black,1.8,2.4
Professional-Salaried,Laborer-Manufacturing,intact,black,1.1,0.9
Professional-Salaried,Laborer-Nonmanufacturing,intact,black,0.9,2.4
Professional-Salaried,Farmer/Farm_Manager,intact,black,0,0
Professional-Salaried,Farm_Laborer,intact,black,0.7,0
Manager,Professional_Self-Employed,intact,black,0,0
Manager,Professional-Salaried,intact,black,2.2,1.2
Manager,Manager,intact,black,0,2.7
Manager,Salesman-Nonretail,intact,black,0,0
Manager,Proprietor,intact,black,0,0
Manager,Clerk,intact,black,2.4,2.2
Manager,Salesman-Retail,intact,black,1.3,0.5
Manager,Craftsman-Manufacturing,intact,black,0,1.4
Manager,Craftsmen-Other,intact,black,0.6,0
Manager,Craftsman-Construction,intact,black,0,0
Manager,Service_Worker,intact,black,0.7,0
Manager,Operative-Nonmanufacturing,intact,black,0.5,1.2
Manager,Operative-Manufacturing,intact,black,0.4,1.8
Manager,Laborer-Manufacturing,intact,black,0,0
Manager,Laborer-Nonmanufacturing,intact,black,1.2,1.2
Manager,Farmer/Farm_Manager,intact,black,0,0
Manager,Farm_Laborer,intact,black,0,0
Salesman-Nonretail,Professional_Self-Employed,intact,black,0,0
Salesman-Nonretail,Professional-Salaried,intact,black,1.3,2.3
Salesman-Nonretail,Manager,intact,black,0.7,0.7
Salesman-Nonretail,Salesman-Nonretail,intact,black,0,0
Salesman-Nonretail,Proprietor,intact,black,0,0
Salesman-Nonretail,Clerk,intact,black,0.5,0
Salesman-Nonretail,Salesman-Retail,intact,black,0,0
Salesman-Nonretail,Craftsman-Manufacturing,intact,black,0,0
Salesman-Nonretail,Craftsmen-Other,intact,black,0,0.6
Salesman-Nonretail,Craftsman-Construction,intact,black,0,0
Salesman-Nonretail,Service_Worker,intact,black,0,0
Salesman-Nonretail,Operative-Nonmanufacturing,intact,black,0.6,0.5
Salesman-Nonretail,Operative-Manufacturing,intact,black,0,0
Salesman-Nonretail,Laborer-Manufacturing,intact,black,0,0
Salesman-Nonretail,Laborer-Nonmanufacturing,intact,black,0,0
Salesman-Nonretail,Farmer/Farm_Manager,intact,black,0,0
Salesman-Nonretail,Farm_Laborer,intact,black,0,0
Proprietor,Professional_Self-Employed,intact,black,0,0
Proprietor,Professional-Salaried,intact,black,1.3,2.6
Proprietor,Manager,intact,black,0.6,0.5
Proprietor,Salesman-Nonretail,intact,black,0.5,0
Proprietor,Proprietor,intact,black,0.5,0
Proprietor,Clerk,intact,black,1.1,2.1
Proprietor,Salesman-Retail,intact,black,0,0.6
Proprietor,Craftsman-Manufacturing,intact,black,0.4,1
Proprietor,Craftsmen-Other,intact,black,0.6,0.9
Proprietor,Craftsman-Construction,intact,black,0.9,0.5
Proprietor,Service_Worker,intact,black,2,2.2
Proprietor,Operative-Nonmanufacturing,intact,black,0.8,2.7
Proprietor,Operative-Manufacturing,intact,black,2.9,0
Proprietor,Laborer-Manufacturing,intact,black,0,0
Proprietor,Laborer-Nonmanufacturing,intact,black,0.4,0.8
Proprietor,Farmer/Farm_Manager,intact,black,0,0
Proprietor,Farm_Laborer,intact,black,0,0
Clerk,Professional_Self-Employed,intact,black,0.4,0
Clerk,Professional-Salaried,intact,black,3.6,5.5
Clerk,Manager,intact,black,0.6,2.1
Clerk,Salesman-Nonretail,intact,black,0,0
Clerk,Proprietor,intact,black,0,0
Clerk,Clerk,intact,black,6.3,5.8
Clerk,Salesman-Retail,intact,black,0.4,0
Clerk,Craftsman-Manufacturing,intact,black,1.3,2.5
Clerk,Craftsmen-Other,intact,black,2.9,2.8
Clerk,Craftsman-Construction,intact,black,0,0.6
Clerk,Service_Worker,intact,black,4.3,3.1
Clerk,Operative-Nonmanufacturing,intact,black,2.9,2
Clerk,Operative-Manufacturing,intact,black,5.7,10.5
Clerk,Laborer-Manufacturing,intact,black,1.8,1.3
Clerk,Laborer-Nonmanufacturing,intact,black,0,1.6
Clerk,Farmer/Farm_Manager,intact,black,0,0
Clerk,Farm_Laborer,intact,black,0.9,0.6
Salesman-Retail,Professional_Self-Employed,intact,black,0,0
Salesman-Retail,Professional-Salaried,intact,black,0,0.4
Salesman-Retail,Manager,intact,black,0,0
Salesman-Retail,Salesman-Nonretail,intact,black,0,0
Salesman-Retail,Proprietor,intact,black,0,1.1
Salesman-Retail,Clerk,intact,black,0.5,0.9
Salesman-Retail,Salesman-Retail,intact,black,0.6,0
Salesman-Retail,Craftsman-Manufacturing,intact,black,0,0
Salesman-Retail,Craftsmen-Other,intact,black,0.5,0
Salesman-Retail,Craftsman-Construction,intact,black,0,0
Salesman-Retail,Service_Worker,intact,black,0,1.4
Salesman-Retail,Operative-Nonmanufacturing,intact,black,0.5,0
Salesman-Retail,Operative-Manufacturing,intact,black,0.8,0
Salesman-Retail,Laborer-Manufacturing,intact,black,0,0
Salesman-Retail,Laborer-Nonmanufacturing,intact,black,1.4,0.8
Salesman-Retail,Farmer/Farm_Manager,intact,black,0,0
Salesman-Retail,Farm_Laborer,intact,black,0,0
Craftsman-Manufacturing,Professional_Self-Employed,intact,black,0,0.3
Craftsman-Manufacturing,Professional-Salaried,intact,black,3.2,4.3
Craftsman-Manufacturing,Manager,intact,black,0,1.4
Craftsman-Manufacturing,Salesman-Nonretail,intact,black,0.8,0
Craftsman-Manufacturing,Proprietor,intact,black,0,0
Craftsman-Manufacturing,Clerk,intact,black,6.5,5.1
Craftsman-Manufacturing,Salesman-Retail,intact,black,1.9,0.6
Craftsman-Manufacturing,Craftsman-Manufacturing,intact,black,1.5,3.7
Craftsman-Manufacturing,Craftsmen-Other,intact,black,0.6,1.9
Craftsman-Manufacturing,Craftsman-Construction,intact,black,1,0
Craftsman-Manufacturing,Service_Worker,intact,black,2.7,4.5
Craftsman-Manufacturing,Operative-Nonmanufacturing,intact,black,2,5.2
Craftsman-Manufacturing,Operative-Manufacturing,intact,black,7.5,8.5
Craftsman-Manufacturing,Laborer-Manufacturing,intact,black,3.7,1.3
Craftsman-Manufacturing,Laborer-Nonmanufacturing,intact,black,5.2,2.6
Craftsman-Manufacturing,Farmer/Farm_Manager,intact,black,0,0
Craftsman-Manufacturing,Farm_Laborer,intact,black,0,0
Craftsmen-Other,Professional_Self-Employed,intact,black,0,0.5
Craftsmen-Other,Professional-Salaried,intact,black,5.1,6.1
Craftsmen-Other,Manager,intact,black,2.2,2.3
Craftsmen-Other,Salesman-Nonretail,intact,black,1,0.5
Craftsmen-Other,Proprietor,intact,black,0.6,0
Craftsmen-Other,Clerk,intact,black,6.8,7.5
Craftsmen-Other,Salesman-Retail,intact,black,1,2.3
Craftsmen-Other,Craftsman-Manufacturing,intact,black,1.5,2
Craftsmen-Other,Craftsmen-Other,intact,black,2.6,3.4
Craftsmen-Other,Craftsman-Construction,intact,black,1.1,3.2
Craftsmen-Other,Service_Worker,intact,black,5.1,11.1
Craftsmen-Other,Operative-Nonmanufacturing,intact,black,8.4,7.2
Craftsmen-Other,Operative-Manufacturing,intact,black,9.3,9.8
Craftsmen-Other,Laborer-Manufacturing,intact,black,3.5,2.2
Craftsmen-Other,Laborer-Nonmanufacturing,intact,black,4,5.6
Craftsmen-Other,Farmer/Farm_Manager,intact,black,0,0
Craftsmen-Other,Farm_Laborer,intact,black,2.1,0.4
Craftsman-Construction,Professional_Self-Employed,intact,black,0.5,0
Craftsman-Construction,Professional-Salaried,intact,black,4.1,5
Craftsman-Construction,Manager,intact,black,3,3.1
Craftsman-Construction,Salesman-Nonretail,intact,black,1.1,1.9
Craftsman-Construction,Proprietor,intact,black,0,0.4
Craftsman-Construction,Clerk,intact,black,5.2,5.8
Craftsman-Construction,Salesman-Retail,intact,black,0,0.4
Craftsman-Construction,Craftsman-Manufacturing,intact,black,1.1,2.5
Craftsman-Construction,Craftsmen-Other,intact,black,0,3.3
Craftsman-Construction,Craftsman-Construction,intact,black,6.7,4
Craftsman-Construction,Service_Worker,intact,black,4.2,4.9
Craftsman-Construction,Operative-Nonmanufacturing,intact,black,8.3,4.8
Craftsman-Construction,Operative-Manufacturing,intact,black,10.5,8.7
Craftsman-Construction,Laborer-Manufacturing,intact,black,4,4.7
Craftsman-Construction,Laborer-Nonmanufacturing,intact,black,6.2,6.2
Craftsman-Construction,Farmer/Farm_Manager,intact,black,0,0
Craftsman-Construction,Farm_Laborer,intact,black,1.4,0
Service_Worker,Professional_Self-Employed,intact,black,0.5,0.5
Service_Worker,Professional-Salaried,intact,black,6.4,11.4
Service_Worker,Manager,intact,black,1.6,4.1
