% The data are a subsample of 500 observations from a data set
% that originate in a study where air pollution at a road is
% related to traffic volume and meteorological variables,
% collected by the Norwegian Public Roads Administration. The
% response variable (column 1) consist of hourly values of the
% logarithm of the concentration of PM10 (particles), measured at
% Alnabru in Oslo, Norway, between October 2001 and August 2003.
% The predictor variables (columns 2 to 8) are the logarithm of
% the number of cars per hour, temperature $2$ meter above ground
% (degree C), wind speed (meters/second), the temperature
% difference between $25$ and $2$ meters above ground (degree C),
% wind direction (degrees between 0 and 360), hour of day and day
% number from October 1. 2001. Submitted by Magne Aldrin
% (magne.aldrin@nr.no). [28/Jul/04] (19kbytes)
%
% Note: description of data is from this website
%       http://lib.stat.cmu.edu/datasets/
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation pm10

@attribute pm10_concentration REAL
@attribute cars_per_hour REAL
@attribute temperature_at_2m REAL
@attribute wind_speed REAL
@attribute temperature_diff_2m_25m REAL
@attribute wind_direction REAL
@attribute hour_of_day INTEGER
@attribute day INTEGER

@data
2.56495,4.69135,-11.3,2.5,1.2,82,5,87
3.85015,7.629,0.1,3.9,-0.2,70.7,14,506
2.48491,5.49717,-5,4,-0.1,75.4,5,440
2.07944,6.57368,1.6,2,1.2,212.7,6,472
2.99573,7.90618,-2.8,2.3,-0.1,205,20,511
1.38629,6.55251,-3.5,3.9,-0.1,46.3,24,409
3.17805,8.22013,2,3.5,-0.2,82,8,64
2.19722,5.42935,2.4,3.6,0.1,125,5,128
3.55535,7.89096,7.1,3.4,-0.3,82.5,19,571
3.8712,8.02453,-2.7,1.4,1.6,66,9,73
3.4012,7.14283,-1.3,1.2,0.6,66,21,113
3.04452,7.97039,5.5,3.9,-0.5,231,14,131
4.34381,6.65801,5.5,1.1,0.9,138,24,199
2.3979,7.10003,-4,5.8,-0.4,78.4,11,399
2.63906,7.65681,-0.2,2.4,0,41,19,157
2.56495,4.70953,-2.8,1.8,1.4,198.9,3,537
3.3322,5.60212,3.8,3.9,-0.2,85,5,187
2.56495,7.85127,0.2,2.8,0.1,78,17,112
3.68888,7.89655,12.8,6.8,-0.6,227.7,15,583
2.3979,7.20638,-0.8,1.6,1.7,192.6,22,469
2.3979,4.89035,-10.8,1.5,0.2,57,3,460
4.68213,7.56735,-10.2,0.6,2.4,110.8,10,465
3.04452,7.61135,0.8,3.1,-0.1,65.6,19,429
3.04452,6.66823,4.1,1.4,0.2,139.8,24,572
2.19722,5.0689,4.3,4.9,0.1,82,2,212
3.17805,7.46107,-2.8,1.4,-0.1,243,20,102
4.48864,7.68018,-0.4,0.8,2.6,147,21,49
2.30259,7.80344,2.4,3.9,0.2,14.3,20,574
3.29584,8.26256,3.4,0.9,0.3,228,16,109
3.17805,7.6695,12.1,2.8,-3.2,256,13,203
4.06044,5.33272,-2.5,2,1.3,80.7,3,532
4.15888,6.30992,-4.5,2,0.3,90,24,100
3.09104,6.67456,2.2,7.1,0.1,37.9,6,557
4.41884,8.09316,-4.7,1.4,1.2,276.8,18,445
2.89037,6.56667,0.1,2.1,-0.2,247.4,6,543
1.09861,5.83481,-5.8,7.7,0.1,47,7,90
3.43399,7.794,3.3,4.3,0.8,217,17,105
3.52636,7.76089,2,1.7,1.1,234,15,121
3.13549,7.67276,1.3,4.2,0.2,169,10,61
2.19722,7.979,1.4,5,-0.1,40.7,9,480
3.13549,7.78406,6.1,1.9,0.4,171,21,210
2.07944,5.95842,-3.1,4.2,-0.1,52.5,2,426
3.63759,4.54329,-11.5,1.7,3.7,90.4,4,465
3.73767,5.62762,-6.6,1,-0.1,200,2,445
2.48491,5.66643,-3.8,2.1,0.6,73,3,77
1.94591,7.54539,6.5,9.4,-0.9,250,11,160
1.94591,6.23832,-0.4,3.3,0.3,215.1,24,470
2.77259,4.56435,-6.3,2,2.3,223,3,148
2.70805,6.58203,2.2,1.8,0.1,64.2,6,549
1.79176,5.31321,-4.9,4.2,0.3,353,2,117
2.30259,5.61677,-1.3,2.8,-0.1,65.2,1,486
4.11087,7.7111,-5.1,0.7,0.3,60,10,99
3.4012,6.2519,0.1,1,0.2,87,24,111
3.68888,7.85516,6.5,5.2,-0.2,69,19,196
4.17439,8.24512,8.6,1.6,-1,258.8,15,530
