% ____________________________________________________________________
%         
%                       Data Diskette for
%                   CASE STUDIES IN BIOMETRY
% 
% By Nicholas Lange, Louise Ryan and Lynne Brillard, David Brillinger,
% Loveday Conquest, Joel Greenhouse.
% 
% Published by John Wiley & Sons, Inc., copyright 1994.  
% ____________________________________________________________________
% 
% You have obtained all of the data used by all of the authors in the
% twenty-one chapters of Case Studies in Biometry.  
% 
% Each chapter contains either one or two data sets, except for Chapter 19,
% which has seven data sets. Corresponding to each data set are ASCII files
% with extensions ".dat" (the data), ".txt" (the data description file), and 
% ".sas" (a simple SAS program to read the .dat file). 
% 
% For chapters containing only one data set, the file name prefix is 
% "ch" followed by chapter number, and then the above extensions.
% For instance, for Chapter 2 you will find files "ch2.dat",
% "ch2.txt", and "ch2.sas".
% 
% For chapters containing two data sets, the letters "a" and "b" are
% added after the chapter number. For instance, for Chapter 1, you will
% find the files "ch1a.dat", "ch1a.txt", "ch1a.sas", "ch1b.dat",
% "ch1b.txt", "ch1b.sas".
% 
% For chapter 19, there are seven data sets, ch19a.dat
% through ch19g.dat.  Each one has the same format, but
% refers to different subsets of the whole data
% set.  Details are given in the single text file, ch19.txt.
% 
% Please note permissions and usage information included in
% the .txt file for each subset.
% _______________________________________________________________
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File: ch5.dat
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File specific Information:
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% CASE STUDIES IN BIOMETRY: Chapter 5.
% 
% Estimating Pine Seedling Response to Ozone and Acid Rain
% 
% John O. Rawlings and Susan E. Spruill
% 
% The data set ch5.dat contains the following variables:
% 
% 1.  site: coded 1-6 corresponding to the location code used in Table 1.
% 2.  block: block within site coded 1, 2, ... within sites for the RCB designs;
%     block=1 for all observations for the CRD designs, sites 5 and 6.
% 3.  rep: replication within site coded as missing in sites 1-4;
%     coded as 1, 2, ... for replicates in the CRD design.
% 4.  ozone: target ozone treatment, coded 0.0=charcoal filtered air, 
%     1.0=nonfiltered air, "x.x"=target level of ozone as multiple of 
%     ambient ozone level.
% 5.  rain:  acidic rain treatment, coded as pH of rain solution.
% 6.  fam:  genetic family, coded as 1, 2, ... within sites.
% 7.  ppmhrs:  cumulative ozone exposure (ppm-h) during the two years of
%     the trials.
% 8.  vwpH:  cumulative exposure to acidic rain computed as vwpH 
%     = -log(sum(volume*hydrogen ion concentration)).
% 9.  biomass:  total above ground biomass (g) after two growing seasons.
% 10. diam:  increment of diameter growth (mm) during the two growing seasons.
% 11. DMA:  whole-plot component of the covariate initial diameter (mm)
%     expressed as the deviation of the whole-plot mean from the overall
%     site mean.
% 12. DMB:  sub-plot component of the covariate initial diameter (mm)
%     expressed as the deviation of the subplot mean from the whole-plot mean.
% 13. D2HA: whole-plot component of the covariate initial volume, 
%     approximated as diameter squared times height, and expressed as
%     the deviation of the whole-plot mean from the overall site mean.
% 14. D2HB:  sub-plot component of the covariate initial volume and
%     expressed as the deviation of the subplot mean from the whole-plot mean.
% 15. DMOT:  depth to mottling (cm) of the clay soil; one measurement
%     per whole-plot. 
% 
% Missing data are coded with '.'
% 
% 
% NOTE:  The authors have on file letters of permission from
% each of the principal investigators to use the SCFRC data
% in a chapter in the book entitled CASE STUDIES IN BIOMETRY,
% and for the data used in this case study to
% be made available to the readers. 
% 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation csb-ch5

@attribute site INTEGER
@attribute block INTEGER
@attribute rep {1,2}
@attribute ozone REAL
@attribute rain REAL
@attribute fam INTEGER
@attribute ppmhrs REAL
@attribute vwpH REAL
@attribute biomass REAL
@attribute diam REAL
@attribute DMA REAL
@attribute DMB REAL
@attribute D2HA REAL
@attribute D2HB REAL
@attribute DMOT REAL

@data
3,2,?,3.0,5.3,2,755.00,1.475,512.23,30.30,1.28,-0.10,7.45,-1.23,?
3,2,?,3.0,5.3,3,755.00,1.475,704.96,29.40,1.28,0.00,7.45,2.78,?
3,2,?,0.0,3.3,1,113.00,-0.385,1461.09,44.50,0.01,0.97,0.28,6.45,?
3,2,?,0.0,3.3,2,113.00,-0.385,1058.72,46.20,0.01,-0.93,0.28,-5.17,?
3,2,?,0.0,3.3,3,113.00,-0.385,924.18,34.60,0.01,-0.03,0.28,-1.29,?
3,2,?,0.0,5.3,1,118.00,1.475,404.34,27.30,-0.86,-0.07,-5.89,-0.18,?
3,2,?,0.0,5.3,2,118.00,1.475,1090.98,41.00,-0.86,1.33,-5.89,2.87,?
3,2,?,0.0,5.3,3,118.00,1.475,834.81,39.50,-0.86,-1.27,-5.89,-2.69,?
3,2,?,1.0,3.3,1,261.00,-0.385,553.71,37.70,-1.19,-0.93,-5.93,-3.08,?
3,2,?,1.0,3.3,2,261.00,-0.385,553.81,35.90,-1.19,-1.03,-5.93,-2.65,?
3,2,?,1.0,3.3,3,261.00,-0.385,786.92,37.30,-1.19,1.97,-5.93,5.73,?
3,2,?,1.0,5.3,1,268.00,1.475,363.79,28.70,-0.22,0.30,-2.17,0.13,?
3,2,?,1.0,5.3,2,268.00,1.475,475.63,34.00,-0.22,0.90,-2.17,4.37,?
3,2,?,1.0,5.3,3,268.00,1.475,294.77,29.20,-0.22,-1.20,-2.17,-4.50,?
4,3,?,1.3,3.3,1,273.00,-0.938,?,28.95,1.09,0.49,16.08,9.36,18.25
4,3,?,1.3,3.3,2,273.00,-0.938,?,30.75,1.09,-0.81,16.08,-18.46,18.25
4,3,?,1.3,3.3,3,273.00,-0.938,?,27.20,1.09,-0.66,16.08,-18.33,18.25
4,3,?,1.3,3.3,4,273.00,-0.938,781.57,29.00,1.09,0.99,16.08,27.42,18.25
4,3,?,1.3,4.3,1,271.00,0.072,?,32.80,-0.65,1.27,-22.36,20.43,19.75
4,3,?,1.3,4.3,2,271.00,0.072,?,29.90,-0.65,-0.63,-22.36,-10.60,19.75
4,3,?,1.3,4.3,3,271.00,0.072,?,30.70,-0.65,-0.78,-22.36,-13.53,19.75
4,3,?,1.3,4.3,4,271.00,0.072,303.37,27.00,-0.65,0.13,-22.36,3.70,19.75
4,3,?,1.3,5.3,1,276.00,1.079,?,26.87,-0.83,0.76,-14.38,13.88,15.25
4,3,?,1.3,5.3,2,276.00,1.079,?,19.65,-0.83,-1.49,-14.38,-12.53,15.25
4,3,?,1.3,5.3,3,276.00,1.079,?,24.60,-0.83,2.56,-14.38,23.06,15.25
4,3,?,1.3,5.3,4,276.00,1.079,50.52,17.15,-0.83,-0.94,-14.38,-26.08,15.25
4,3,?,1.7,3.3,1,339.00,-0.938,?,32.85,-0.83,-0.24,-18.52,-6.68,18.50
4,3,?,1.7,3.3,2,339.00,-0.938,?,41.60,-0.83,0.36,-18.52,8.27,18.50
4,3,?,1.7,3.3,3,339.00,-0.938,?,39.55,-0.83,-0.79,-18.52,-15.02,18.50
4,3,?,1.7,3.3,4,339.00,-0.938,562.55,30.60,-0.83,0.66,-18.52,13.43,18.50
4,3,?,1.7,4.3,1,329.00,0.072,?,40.80,0.15,0.08,2.83,-0.21,33.75
4,3,?,1.7,4.3,2,329.00,0.072,?,32.10,0.15,-1.42,2.83,-23.56,33.75
4,3,?,1.7,4.3,3,329.00,0.072,?,39.25,0.15,-0.28,2.83,-7.98,33.75
4,3,?,1.7,4.3,4,329.00,0.072,1012.46,39.70,0.15,1.62,2.83,31.74,33.75
4,3,?,1.7,5.3,1,339.00,1.079,?,35.95,-1.46,1.09,-33.45,7.26,14.25
4,3,?,1.7,5.3,2,339.00,1.079,?,23.15,-1.46,-0.66,-33.45,-7.25,14.25
4,3,?,1.7,5.3,3,339.00,1.079,?,21.50,-1.46,-1.26,-33.45,-10.99,14.25
4,3,?,1.7,5.3,4,339.00,1.079,392.36,29.25,-1.46,0.84,-33.45,10.98,14.25
4,3,?,2.0,3.3,1,405.00,-0.938,?,23.05,1.27,-1.44,13.93,-31.73,23.25
4,3,?,2.0,3.3,2,405.00,-0.938,?,34.75,1.27,-0.14,13.93,-3.44,23.25
4,3,?,2.0,3.3,3,405.00,-0.938,?,37.05,1.27,0.16,13.93,6.62,23.25
4,3,?,2.0,3.3,4,405.00,-0.938,789.39,30.45,1.27,1.41,13.93,28.56,23.25
4,3,?,2.0,4.3,1,394.00,0.072,?,22.90,-0.53,1.36,-19.02,17.65,8.75
4,3,?,2.0,4.3,2,394.00,0.072,?,18.90,-0.53,-0.94,-19.02,-14.06,8.75
4,3,?,2.0,4.3,3,394.00,0.072,?,19.05,-0.53,1.56,-19.02,25.39,8.75
4,3,?,2.0,4.3,4,394.00,0.072,68.31,17.50,-0.53,-1.99,-19.02,-28.98,8.75
4,3,?,2.0,5.3,1,409.00,1.079,?,26.25,-0.76,-1.71,-12.85,-31.26,30.25
4,3,?,2.0,5.3,2,409.00,1.079,?,19.65,-0.76,0.14,-12.85,-1.92,30.25
4,3,?,2.0,5.3,3,409.00,1.079,?,24.30,-0.76,-1.06,-12.85,-18.20,30.25
4,3,?,2.0,5.3,4,409.00,1.079,507.30,30.20,-0.76,2.64,-12.85,51.38,30.25
4,3,?,3.0,3.3,1,588.00,-0.938,?,20.10,-1.63,0.21,-34.92,2.70,23.00
4,3,?,3.0,3.3,2,588.00,-0.938,?,21.80,-1.63,-1.14,-34.92,-15.49,23.00
4,3,?,3.0,3.3,3,588.00,-0.938,?,19.60,-1.63,-0.74,-34.92,-8.66,23.00
4,3,?,3.0,3.3,4,588.00,-0.938,66.03,17.80,-1.63,1.11,-34.92,13.70,23.00
4,3,?,3.0,4.3,1,569.00,0.072,?,20.50,0.70,0.57,6.46,6.55,15.25
4,3,?,3.0,4.3,2,569.00,0.072,?,6.70,0.70,-1.17,6.46,-11.30,15.25
4,3,?,3.0,4.3,3,569.00,0.072,?,24.65,0.70,-1.37,6.46,-28.39,15.25
4,3,?,3.0,4.3,4,569.00,0.072,66.52,12.35,0.70,1.97,6.46,33.14,15.25
4,3,?,3.0,5.3,1,577.00,1.079,?,14.20,-1.11,0.14,-27.62,-1.69,20.75
4,3,?,3.0,5.3,2,577.00,1.079,?,17.50,-1.11,-0.51,-27.62,-7.81,20.75
4,3,?,3.0,5.3,3,577.00,1.079,?,14.60,-1.11,0.09,-27.62,5.87,20.75
4,3,?,3.0,5.3,4,577.00,1.079,394.82,23.45,-1.11,0.29,-27.62,3.64,20.75
4,3,?,0.0,3.3,1,34.00,-0.938,?,28.95,0.14,-0.61,-8.27,-9.67,13.75
4,3,?,0.0,3.3,2,34.00,-0.938,?,17.80,0.14,0.54,-8.27,3.19,13.75
4,3,?,0.0,3.3,3,34.00,-0.938,?,18.70,0.14,-0.81,-8.27,-10.67,13.75
4,3,?,0.0,3.3,4,34.00,-0.938,132.14,21.90,0.14,0.89,-8.27,17.16,13.75
4,3,?,0.0,4.3,1,35.00,0.072,?,28.65,-1.52,1.90,-28.90,21.63,18.25
4,3,?,0.0,4.3,2,35.00,0.072,?,34.05,-1.52,-1.15,-28.90,-12.49,18.25
4,3,?,0.0,4.3,3,35.00,0.072,?,37.05,-1.52,-0.35,-28.90,-1.84,18.25
4,3,?,0.0,4.3,4,35.00,0.072,174.69,27.20,-1.52,-0.40,-28.90,-7.30,18.25
4,3,?,0.0,5.3,1,32.00,1.079,?,27.40,-0.37,-1.25,-11.38,-25.50,21.75
4,3,?,0.0,5.3,2,32.00,1.079,?,28.80,-0.37,-0.05,-11.38,-5.13,21.75
4,3,?,0.0,5.3,3,32.00,1.079,?,35.25,-0.37,1.15,-11.38,20.79,21.75
4,3,?,0.0,5.3,4,32.00,1.079,779.49,33.95,-0.37,0.15,-11.38,9.84,21.75
4,3,?,1.0,3.3,1,197.00,-0.938,?,26.50,-1.57,1.35,-36.34,16.55,12.50
4,3,?,1.0,3.3,2,197.00,-0.938,?,21.90,-1.57,-1.20,-36.34,-13.47,12.50
4,3,?,1.0,3.3,3,197.00,-0.938,?,16.60,-1.57,-0.70,-36.34,-9.01,12.50
4,3,?,1.0,3.3,4,197.00,-0.938,117.95,22.90,-1.57,0.55,-36.34,5.93,12.50
4,3,?,1.0,4.3,1,195.00,0.072,?,30.40,0.19,2.14,-2.75,33.59,9.50
4,3,?,1.0,4.3,2,195.00,0.072,?,23.55,0.19,-1.21,-2.75,-20.64,9.50
4,3,?,1.0,4.3,3,195.00,0.072,?,23.25,0.19,-2.41,-2.75,-36.36,9.50
4,3,?,1.0,4.3,4,195.00,0.072,574.41,30.85,0.19,1.49,-2.75,23.41,9.50
4,3,?,1.0,5.3,1,189.00,1.079,?,29.50,1.37,1.01,13.21,17.90,10.00
4,3,?,1.0,5.3,2,189.00,1.079,?,20.50,1.37,-1.69,13.21,-27.35,10.00
4,3,?,1.0,5.3,3,189.00,1.079,?,23.60,1.37,-0.44,13.21,-6.81,10.00
4,3,?,1.0,5.3,4,189.00,1.079,202.50,26.30,1.37,1.11,13.21,16.27,10.00
4,4,?,1.3,3.3,1,271.00,-0.938,?,51.75,-0.83,2.11,-4.07,34.95,40.75
4,4,?,1.3,3.3,2,271.00,-0.938,?,46.75,-0.83,0.51,-4.07,3.43,40.75
4,4,?,1.3,3.3,3,271.00,-0.938,?,44.35,-0.83,-3.14,-4.07,-51.85,40.75
4,4,?,1.3,3.3,4,271.00,-0.938,2364.66,56.15,-0.83,0.51,-4.07,13.47,40.75
4,4,?,1.3,4.3,1,275.00,0.072,?,41.05,-0.33,-1.54,0.10,-32.98,35.50
4,4,?,1.3,4.3,2,275.00,0.072,?,51.80,-0.33,1.51,0.10,41.88,35.50
4,4,?,1.3,4.3,3,275.00,0.072,?,42.00,-0.33,-0.64,0.10,-16.74,35.50
4,4,?,1.3,4.3,4,275.00,0.072,1075.96,42.95,-0.33,0.66,0.10,7.84,35.50
4,4,?,1.3,5.3,1,271.00,1.079,?,40.07,-0.84,-0.20,-13.80,-4.72,38.00
4,4,?,1.3,5.3,2,271.00,1.079,?,40.75,-0.84,-0.23,-13.80,-3.39,38.00
4,4,?,1.3,5.3,3,271.00,1.079,?,38.40,-0.84,-0.23,-13.80,-5.09,38.00
4,4,?,1.3,5.3,4,271.00,1.079,937.63,43.00,-0.84,1.27,-13.80,26.01,38.00
4,4,?,1.7,3.3,1,331.00,-0.938,?,47.80,1.73,-1.05,36.98,-27.86,34.50
4,4,?,1.7,3.3,2,331.00,-0.938,?,45.15,1.73,0.50,36.98,29.90,34.50
4,4,?,1.7,3.3,3,331.00,-0.938,?,53.80,1.73,-0.50,36.98,-7.56,34.50
4,4,?,1.7,3.3,4,331.00,-0.938,1438.19,57.50,1.73,1.05,36.98,5.52,34.50
4,4,?,1.7,4.3,1,334.00,0.072,?,53.45,0.14,-0.16,12.64,-5.56,67.00
4,4,?,1.7,4.3,2,334.00,0.072,?,51.60,0.14,-0.71,12.64,-14.09,67.00
4,4,?,1.7,4.3,3,334.00,0.072,?,54.45,0.14,1.54,12.64,37.32,67.00
4,4,?,1.7,4.3,4,334.00,0.072,2169.70,49.50,0.14,-0.66,12.64,-17.67,67.00
4,4,?,1.7,5.3,1,333.00,1.079,?,39.25,-1.31,0.64,-20.12,6.34,54.50
4,4,?,1.7,5.3,2,333.00,1.079,?,36.40,-1.31,-0.66,-20.12,-2.41,54.50
4,4,?,1.7,5.3,3,333.00,1.079,?,44.65,-1.31,0.44,-20.12,5.74,54.50
4,4,?,1.7,5.3,4,333.00,1.079,754.80,36.30,-1.31,-0.41,-20.12,-9.67,54.50
4,4,?,2.0,3.3,1,402.00,-0.938,?,37.95,0.29,-0.06,3.48,1.90,17.25
4,4,?,2.0,3.3,2,402.00,-0.938,?,35.05,0.29,0.04,3.48,-2.83,17.25
4,4,?,2.0,3.3,3,402.00,-0.938,?,26.20,0.29,0.04,3.48,0.77,17.25
4,4,?,2.0,3.3,4,402.00,-0.938,1029.82,41.70,0.29,-0.01,3.48,0.16,17.25
4,4,?,2.0,4.3,1,410.00,0.072,?,32.30,-0.90,0.72,-12.67,4.35,16.25
4,4,?,2.0,4.3,2,410.00,0.072,?,20.10,-0.90,-1.92,-12.67,-31.11,16.25
4,4,?,2.0,4.3,3,410.00,0.072,?,31.95,-0.90,1.82,-12.67,41.04,16.25
4,4,?,2.0,4.3,4,410.00,0.072,168.36,29.65,-0.90,-0.63,-12.67,-14.29,16.25
4,4,?,2.0,5.3,1,404.00,1.079,?,49.95,-1.18,0.76,-13.61,13.93,58.00
4,4,?,2.0,5.3,2,404.00,1.079,?,47.60,-1.18,0.56,-13.61,9.41,58.00
4,4,?,2.0,5.3,3,404.00,1.079,?,29.70,-1.18,-1.84,-13.61,-29.78,58.00
4,4,?,2.0,5.3,4,404.00,1.079,2263.71,47.50,-1.18,0.51,-13.61,6.43,58.00
4,4,?,3.0,3.3,1,595.00,-0.938,?,30.80,0.53,-0.10,18.41,-9.26,48.25
4,4,?,3.0,3.3,2,595.00,-0.938,?,25.70,0.53,-1.25,18.41,-16.77,48.25
4,4,?,3.0,3.3,3,595.00,-0.938,?,42.55,0.53,-0.20,18.41,-7.94,48.25
4,4,?,3.0,3.3,4,595.00,-0.938,1722.12,46.15,0.53,1.55,18.41,33.97,48.25
4,4,?,3.0,4.3,1,585.00,0.072,?,30.95,-1.65,0.78,-28.99,7.72,31.00
4,4,?,3.0,4.3,2,585.00,0.072,?,27.50,-1.65,-0.38,-28.99,-2.53,31.00
4,4,?,3.0,4.3,3,585.00,0.072,?,25.70,-1.65,0.42,-28.99,5.64,31.00
4,4,?,3.0,4.3,4,585.00,0.072,188.98,21.25,-1.65,-0.82,-28.99,-10.82,31.00
4,4,?,3.0,5.3,1,604.00,1.079,?,35.80,-0.27,0.20,-2.26,5.83,40.25
4,4,?,3.0,5.3,2,604.00,1.079,?,32.70,-0.27,0.45,-2.26,5.53,40.25
4,4,?,3.0,5.3,3,604.00,1.079,?,30.70,-0.27,-0.25,-2.26,-4.22,40.25
4,4,?,3.0,5.3,4,604.00,1.079,733.39,32.00,-0.27,-0.40,-2.26,-7.14,40.25
4,4,?,0.0,3.3,1,40.00,-0.938,?,53.35,-1.41,0.39,-19.71,4.85,72.75
4,4,?,0.0,3.3,2,40.00,-0.938,?,45.10,-1.41,-0.41,-19.71,-3.88,72.75
4,4,?,0.0,3.3,3,40.00,-0.938,?,45.75,-1.41,-1.51,-19.71,-29.21,72.75
4,4,?,0.0,3.3,4,40.00,-0.938,3134.27,52.20,-1.41,1.54,-19.71,28.25,72.75
4,4,?,0.0,4.3,1,31.00,0.072,?,25.70,0.48,-0.55,9.68,-2.51,12.75
4,4,?,0.0,4.3,2,31.00,0.072,?,20.75,0.48,-0.05,9.68,-0.31,12.75
4,4,?,0.0,4.3,3,31.00,0.072,?,32.05,0.48,1.10,9.68,21.33,12.75
4,4,?,0.0,4.3,4,31.00,0.072,294.77,25.80,0.48,-0.50,9.68,-18.51,12.75
4,4,?,0.0,5.3,1,37.00,1.079,?,37.00,-0.23,0.76,-3.76,12.33,15.25
4,4,?,0.0,5.3,2,37.00,1.079,?,32.40,-0.23,0.46,-3.76,2.59,15.25
4,4,?,0.0,5.3,3,37.00,1.079,?,28.25,-0.23,-0.79,-3.76,-13.61,15.25
4,4,?,0.0,5.3,4,37.00,1.079,244.83,25.20,-0.23,-0.44,-3.76,-1.30,15.25
4,4,?,1.0,3.3,1,196.00,-0.938,?,49.65,-0.33,1.36,-2.86,25.66,25.25
4,4,?,1.0,3.3,2,196.00,-0.938,?,46.20,-0.33,-0.39,-2.86,-8.88,25.25
4,4,?,1.0,3.3,3,196.00,-0.938,?,49.25,-0.33,-0.54,-2.86,-10.92,25.25
4,4,?,1.0,3.3,4,196.00,-0.938,799.91,38.30,-0.33,-0.44,-2.86,-5.86,25.25
4,4,?,1.0,4.3,1,194.00,0.072,?,49.30,-1.36,-1.16,-17.79,-22.60,61.25
4,4,?,1.0,4.3,2,194.00,0.072,?,45.70,-1.36,1.69,-17.79,28.04,61.25
4,4,?,1.0,4.3,3,194.00,0.072,?,45.20,-1.36,-1.41,-17.79,-22.83,61.25
4,4,?,1.0,4.3,4,194.00,0.072,2370.48,49.55,-1.36,0.89,-17.79,17.39,61.25
4,4,?,1.0,5.3,1,193.00,1.079,?,47.80,-0.47,-0.85,-1.19,-19.11,52.75
4,4,?,1.0,5.3,2,193.00,1.079,?,41.45,-0.47,0.20,-1.19,4.53,52.75
4,4,?,1.0,5.3,3,193.00,1.079,?,54.85,-0.47,0.60,-1.19,14.52,52.75
4,4,?,1.0,5.3,4,193.00,1.079,1906.70,48.40,-0.47,0.05,-1.19,0.06,52.75
4,5,?,1.3,3.3,1,266.00,-0.938,?,37.95,-1.08,0.56,-21.66,10.19,23.25
4,5,?,1.3,3.3,2,266.00,-0.938,?,32.65,-1.08,-0.64,-21.66,-10.00,23.25
4,5,?,1.3,3.3,3,266.00,-0.938,?,32.25,-1.08,-0.84,-21.66,-14.79,23.25
4,5,?,1.3,3.3,4,266.00,-0.938,819.82,39.20,-1.08,0.91,-21.66,14.59,23.25
4,5,?,1.3,4.3,1,271.00,0.072,?,40.45,1.12,0.91,21.82,20.45,15.50
4,5,?,1.3,4.3,2,271.00,0.072,?,30.55,1.12,-1.79,21.82,-32.33,15.50
4,5,?,1.3,4.3,3,271.00,0.072,?,37.35,1.12,-0.39,21.82,-18.10,15.50
4,5,?,1.3,4.3,4,271.00,0.072,1206.39,45.05,1.12,1.26,21.82,20.93,15.50
4,5,?,1.3,5.3,1,269.00,1.079,?,41.45,1.53,0.00,28.58,1.35,16.00
4,5,?,1.3,5.3,2,269.00,1.079,?,32.30,1.53,0.00,28.58,-7.52,16.00
4,5,?,1.3,5.3,3,269.00,1.079,?,32.25,1.53,0.30,28.58,10.45,16.00
4,5,?,1.3,5.3,4,269.00,1.079,705.84,35.65,1.53,-0.30,28.58,-4.27,16.00
4,5,?,1.7,3.3,1,326.00,-0.938,?,30.50,-0.33,0.56,-7.02,9.74,16.00
4,5,?,1.7,3.3,2,326.00,-0.938,?,27.70,-0.33,0.21,-7.02,8.51,16.00
4,5,?,1.7,3.3,3,326.00,-0.938,?,29.95,-0.33,-0.54,-7.02,-12.93,16.00
4,5,?,1.7,3.3,4,326.00,-0.938,293.60,32.45,-0.33,-0.24,-7.02,-5.32,16.00
4,5,?,1.7,4.3,1,323.00,0.072,?,48.85,0.93,1.35,22.33,45.45,47.25
4,5,?,1.7,4.3,2,323.00,0.072,?,40.55,0.93,-2.55,22.33,-44.64,47.25
4,5,?,1.7,4.3,3,323.00,0.072,?,48.75,0.93,1.05,22.33,18.94,47.25
4,5,?,1.7,4.3,4,323.00,0.072,1873.02,45.10,0.93,0.15,22.33,-19.75,47.25
4,5,?,1.7,5.3,1,318.00,1.079,?,40.00,0.08,-0.45,-3.74,-8.82,25.25
4,5,?,1.7,5.3,2,318.00,1.079,?,37.00,0.08,0.10,-3.74,9.26,25.25
4,5,?,1.7,5.3,3,318.00,1.079,?,36.00,0.08,-0.05,-3.74,-1.59,25.25
4,5,?,1.7,5.3,4,318.00,1.079,727.29,44.25,0.08,0.40,-3.74,1.15,25.25
4,5,?,2.0,3.3,1,396.00,-0.938,?,32.00,1.52,1.46,23.10,27.68,15.25
4,5,?,2.0,3.3,2,396.00,-0.938,?,25.90,1.52,-1.14,23.10,-21.25,15.25
4,5,?,2.0,3.3,3,396.00,-0.938,?,28.65,1.52,-0.69,23.10,-7.96,15.25
4,5,?,2.0,3.3,4,396.00,-0.938,260.53,23.65,1.52,0.36,23.10,1.54,15.25
4,5,?,2.0,4.3,1,395.00,0.072,?,27.40,0.88,0.85,17.46,20.67,13.50
4,5,?,2.0,4.3,2,395.00,0.072,?,32.35,0.88,-0.45,17.46,-9.00,13.50
4,5,?,2.0,4.3,3,395.00,0.072,?,24.45,0.88,-0.05,17.46,-8.30,13.50
4,5,?,2.0,4.3,4,395.00,0.072,346.78,23.20,0.88,-0.35,17.46,-3.37,13.50
4,5,?,2.0,5.3,1,391.00,1.079,?,37.55,1.02,0.11,19.47,-4.05,33.00
4,5,?,2.0,5.3,2,391.00,1.079,?,30.35,1.02,-0.54,19.47,-6.09,33.00
4,5,?,2.0,5.3,3,391.00,1.079,?,37.70,1.02,-0.89,19.47,-22.03,33.00
4,5,?,2.0,5.3,4,391.00,1.079,1083.57,40.75,1.02,1.31,19.47,32.18,33.00
4,5,?,3.0,3.3,1,580.00,-0.938,?,35.10,1.68,-0.40,31.32,-11.74,18.00
4,5,?,3.0,3.3,2,580.00,-0.938,?,13.25,1.68,0.95,31.32,29.26,18.00
4,5,?,3.0,3.3,3,580.00,-0.938,?,23.65,1.68,-1.25,31.32,-22.56,18.00
4,5,?,3.0,3.3,4,580.00,-0.938,338.90,22.90,1.68,0.70,31.32,5.04,18.00
4,5,?,3.0,4.3,1,585.00,0.072,?,30.85,0.23,-1.20,6.02,-22.29,31.50
4,5,?,3.0,4.3,2,585.00,0.072,?,23.50,0.23,-1.55,6.02,-27.56,31.50
4,5,?,3.0,4.3,3,585.00,0.072,?,27.45,0.23,1.65,6.02,32.90,31.50
4,5,?,3.0,4.3,4,585.00,0.072,1027.72,42.60,0.23,1.10,6.02,16.94,31.50
4,5,?,3.0,5.3,1,571.00,1.079,?,36.05,2.10,1.67,38.40,37.03,13.25
4,5,?,3.0,5.3,2,571.00,1.079,?,19.65,2.10,-1.37,38.40,-25.26,13.25
4,5,?,3.0,5.3,3,571.00,1.079,?,29.95,2.10,-0.38,38.40,-10.98,13.25
4,5,?,3.0,5.3,4,571.00,1.079,420.45,27.20,2.10,0.08,38.40,-0.79,13.25
4,5,?,0.0,3.3,1,40.00,-0.938,?,30.00,1.67,-0.54,34.64,-11.55,17.75
4,5,?,0.0,3.3,2,40.00,-0.938,?,30.60,1.67,-0.84,34.64,-18.52,17.75
4,5,?,0.0,3.3,3,40.00,-0.938,?,38.10,1.67,1.81,34.64,34.42,17.75
4,5,?,0.0,3.3,4,40.00,-0.938,1478.73,45.25,1.67,-0.69,34.64,-10.12,17.75
4,5,?,0.0,4.3,1,32.00,0.072,?,50.35,-0.65,0.28,-6.97,8.99,28.25
4,5,?,0.0,4.3,2,32.00,0.072,?,42.30,-0.65,-0.38,-6.97,-7.39,28.25
4,5,?,0.0,4.3,3,32.00,0.072,?,49.75,-0.65,0.23,-6.97,3.84,28.25
4,5,?,0.0,4.3,4,32.00,0.072,507.33,33.40,-0.65,-0.13,-6.97,-5.44,28.25
4,5,?,0.0,5.3,1,45.00,1.079,?,34.65,1.78,3.05,40.96,76.06,17.75
4,5,?,0.0,5.3,2,45.00,1.079,?,31.10,1.78,-2.40,40.96,-49.96,17.75
4,5,?,0.0,5.3,3,45.00,1.079,?,37.50,1.78,-0.60,40.96,-17.66,17.75
4,5,?,0.0,5.3,4,45.00,1.079,444.81,38.10,1.78,-0.05,40.96,-8.44,17.75
4,5,?,1.0,3.3,1,202.00,-0.938,?,28.55,-1.18,0.81,-25.20,4.79,20.50
4,5,?,1.0,3.3,2,202.00,-0.938,?,23.80,-1.18,-0.29,-25.20,3.15,20.50
4,5,?,1.0,3.3,3,202.00,-0.938,?,22.20,-1.18,-1.29,-25.20,-17.79,20.50
4,5,?,1.0,3.3,4,202.00,-0.938,377.40,27.65,-1.18,0.76,-25.20,9.84,20.50
4,5,?,1.0,4.3,1,193.00,0.072,?,42.85,1.43,0.00,23.10,-5.37,15.50
4,5,?,1.0,4.3,2,193.00,0.072,?,37.45,1.43,1.20,23.10,36.13,15.50
4,5,?,1.0,4.3,3,193.00,0.072,?,31.75,1.43,0.65,23.10,5.81,15.50
4,5,?,1.0,4.3,4,193.00,0.072,157.41,25.65,1.43,-1.85,23.10,-36.58,15.50
