% Determinants of Wages from the 1985 Current Population Survey
% 
% Summary:
% 	The Current Population Survey (CPS) is used to supplement census information between census years. These data consist of a random sample of 534 persons from the CPS, with information on wages and other characteristics of the workers, including sex, number of years of education, years of work experience, occupational status, region of residence and union membership. We wish to determine (i) whether wages are related to these characteristics and (ii) whether there is a gender gap in wages. 
% 	Based on residual plots, wages were log-transformed to stabilize the variance. Age and work experience were almost perfectly correlated (r=.98). Multiple regression of log wages against sex, age, years of education, work experience, union membership, southern residence, and occupational status showed that these covariates were related to wages (pooled F test, p < .0001). The effect of age was not significant after controlling for experience. Standardized residual plots showed no patterns, except for one large outlier with lower wages than expected. This was a male, with 22 years of experience and 12 years of education, in a management position, who lived in the north and was not a union member. Removing this person from the analysis did not substantially change the results, so that the final model included the entire sample. 
% 	Adjusting for all other variables in the model, females earned 81% (75%, 88%) the wages of males (p < .0001). Wages increased 41% (28%, 56%) for every 5 additional years of education (p < .0001). They increased by 11% (7%, 14%) for every additional 10 years of experience (p < .0001). Union members were paid 23% (12%, 36%) more than non-union members (p < .0001). Northerns were paid 11% (2%, 20%) more than southerns (p =.016). Management and professional positions were paid most, and service and clerical positions were paid least (pooled F-test, p < .0001). Overall variance explained was R2 = .35. 
% 	In summary, many factors describe the variations in wages: occupational status, years of experience, years of education, sex, union membership and region of residence. However, despite adjustment for all factors that were available, there still appeared to be a gender gap in wages. There is no readily available explanation for this gender gap.
% 
% Authorization: Public Domain
% 
% Reference: Berndt, ER. The Practice of Econometrics. 1991. NY: Addison-Wesley.
% 
% Description:  The datafile contains 534 observations on 11 variables sampled from the Current Population Survey of 1985.  This data set demonstrates multiple regression, confounding, transformations, multicollinearity, categorical variables, ANOVA, pooled tests of significance, interactions and model building strategies.
% 
% Variable names in order from left to right:
% 	EDUCATION: Number of years of education.
% 	SOUTH: Indicator variable for Southern Region (1=Person lives in 		South, 0=Person lives elsewhere).
% 	SEX: Indicator variable for sex (1=Female, 0=Male).
% 	EXPERIENCE: Number of years of work experience.
% 	UNION: Indicator variable for union membership (1=Union member, 		0=Not union member).
% 	WAGE: Wage (dollars per hour).
% 	AGE: Age (years).
% 	RACE: Race (1=Other, 2=Hispanic, 3=White).
% 	OCCUPATION: Occupational category (1=Management, 		2=Sales, 3=Clerical, 4=Service, 5=Professional, 6=Other).
% 	SECTOR: Sector (0=Other, 1=Manufacturing, 2=Construction).
% 	MARR: Marital Status (0=Unmarried,  1=Married)
% 
% 
% Therese Stukel
% Dartmouth Hitchcock Medical Center
% One Medical Center Dr.
% Lebanon, NH 03756
% e-mail: stukel@dartmouth.edu
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation cps_85_wages

@attribute EDUCATION INTEGER
@attribute SOUTH {no,yes}
@attribute SEX {female,male}
@attribute EXPERIENCE INTEGER
@attribute UNION {member,not_member}
@attribute WAGE REAL
@attribute AGE INTEGER
@attribute RACE {Hispanic,Other,White}
@attribute OCCUPATION {Clerical,Management,Other,Professional,Sales,Service}
@attribute SECTOR {Construction,Manufacturing,Other}
@attribute MARR {Married,Unmarried}

@data
14,no,female,19,member,8.85,39,Other,Clerical,Other,Married
12,yes,female,14,not_member,8,32,White,Clerical,Other,Married
4,no,male,54,not_member,6,64,White,Service,Other,Married
14,no,male,17,not_member,7.14,37,White,Service,Other,Married
8,no,female,29,not_member,3.4,43,Other,Service,Other,Married
15,yes,female,26,not_member,6,47,White,Service,Other,Unmarried
2,no,male,16,not_member,3.75,24,Hispanic,Service,Other,Unmarried
8,no,female,29,not_member,8.89,43,Other,Service,Other,Unmarried
11,no,female,20,not_member,4.35,37,White,Service,Other,Married
10,yes,female,38,not_member,13.1,54,Other,Service,Other,Married
8,yes,female,37,not_member,4.35,51,Other,Service,Other,Married
9,no,male,48,not_member,3.5,63,White,Service,Other,Unmarried
12,no,female,16,not_member,3.8,34,White,Service,Other,Unmarried
8,no,female,38,not_member,5.26,52,White,Service,Other,Married
14,no,male,0,not_member,3.35,20,Other,Service,Other,Unmarried
12,no,male,14,member,16.26,32,Other,Service,Other,Unmarried
12,no,female,2,not_member,4.25,20,White,Service,Other,Married
16,no,male,21,not_member,4.5,43,White,Service,Other,Married
13,no,female,15,not_member,8,34,White,Service,Other,Married
16,no,female,20,not_member,4,42,White,Service,Other,Unmarried
14,no,female,12,not_member,7.96,32,White,Service,Other,Married
12,yes,male,7,not_member,4,25,Hispanic,Service,Other,Unmarried
11,no,male,4,not_member,4.15,21,White,Service,Other,Married
13,yes,male,9,not_member,5.95,28,White,Service,Other,Married
12,yes,female,43,not_member,3.6,61,Hispanic,Service,Other,Married
10,yes,male,19,not_member,8.75,35,White,Service,Other,Unmarried
8,no,female,49,not_member,3.4,63,White,Service,Other,Unmarried
12,no,female,38,not_member,4.28,56,White,Service,Other,Married
12,no,female,13,not_member,5.35,31,White,Service,Other,Married
12,no,female,14,not_member,5,32,White,Service,Other,Married
12,no,male,20,not_member,7.65,38,White,Service,Other,Unmarried
12,no,female,7,not_member,6.94,25,White,Service,Other,Unmarried
12,no,female,9,member,7.5,27,White,Service,Manufacturing,Married
12,no,female,6,not_member,3.6,24,White,Service,Other,Unmarried
12,yes,female,5,not_member,1.75,23,White,Service,Other,Married
13,yes,female,1,not_member,3.45,20,Other,Service,Other,Unmarried
14,no,male,22,member,9.63,42,White,Service,Other,Married
12,no,female,24,not_member,8.49,42,White,Service,Other,Married
12,no,female,15,member,8.99,33,White,Service,Other,Unmarried
11,yes,female,8,not_member,3.65,25,White,Service,Other,Married
11,yes,female,17,not_member,3.5,34,White,Service,Other,Married
12,yes,male,2,not_member,3.43,20,Other,Service,Other,Unmarried
12,yes,male,20,not_member,5.5,38,White,Service,Other,Married
12,no,male,26,member,6.93,44,White,Service,Other,Married
10,yes,female,37,not_member,3.51,53,Other,Service,Other,Married
12,no,female,41,not_member,3.75,59,White,Service,Other,Unmarried
12,no,female,27,not_member,4.17,45,White,Service,Other,Married
12,no,female,5,member,9.57,23,White,Service,Other,Married
14,no,male,16,not_member,14.67,36,Other,Service,Other,Married
14,no,female,19,not_member,12.5,39,White,Service,Other,Married
12,no,male,10,not_member,5.5,28,White,Service,Other,Married
13,yes,male,1,member,5.15,20,White,Service,Other,Unmarried
12,no,female,43,member,8,61,Other,Service,Other,Married
13,no,male,3,not_member,5.83,22,Other,Service,Other,Unmarried
12,no,female,0,not_member,3.35,18,White,Service,Other,Unmarried
12,yes,female,26,not_member,7,44,White,Service,Other,Married
10,no,female,25,member,10,41,White,Service,Other,Married
12,no,female,15,not_member,8,33,White,Service,Other,Married
14,yes,female,10,not_member,6.88,30,White,Service,Other,Unmarried
11,no,female,45,member,5.55,62,White,Service,Other,Unmarried
11,no,male,3,not_member,7.5,20,Other,Service,Other,Unmarried
8,no,male,47,member,8.93,61,Hispanic,Service,Other,Married
16,no,female,6,not_member,9,28,Other,Service,Other,Married
10,yes,female,33,not_member,3.5,49,White,Service,Other,Unmarried
16,no,male,3,not_member,5.77,25,White,Service,Manufacturing,Unmarried
14,no,male,4,member,25,24,Hispanic,Service,Other,Unmarried
14,no,male,34,member,6.85,54,Other,Service,Other,Married
11,yes,male,39,not_member,6.5,56,White,Service,Other,Married
12,yes,female,17,not_member,3.75,35,White,Service,Other,Married
9,no,male,47,member,3.5,62,White,Service,Other,Married
11,no,male,2,not_member,4.5,19,White,Service,Other,Unmarried
13,yes,male,0,not_member,2.01,19,White,Service,Other,Unmarried
14,no,female,24,not_member,4.17,44,White,Service,Other,Unmarried
12,no,male,25,member,13,43,Other,Service,Other,Married
14,no,female,6,not_member,3.98,26,White,Service,Other,Unmarried
12,no,female,10,not_member,7.5,28,White,Service,Other,Unmarried
12,no,female,33,not_member,13.12,51,Other,Service,Other,Married
12,no,male,12,not_member,4,30,White,Service,Other,Unmarried
12,yes,female,9,not_member,3.95,27,White,Service,Other,Married
11,yes,male,18,member,13,35,White,Service,Other,Married
12,no,male,10,not_member,9,28,White,Service,Other,Married
8,yes,female,45,not_member,4.55,59,White,Service,Other,Unmarried
9,no,female,46,member,9.5,61,White,Service,Other,Married
7,yes,male,14,not_member,4.5,27,Hispanic,Service,Other,Married
11,no,female,36,not_member,8.75,53,White,Service,Other,Unmarried
13,no,male,34,member,10,53,White,Professional,Construction,Married
18,no,male,15,not_member,18,39,White,Professional,Other,Married
17,no,male,31,not_member,24.98,54,White,Professional,Manufacturing,Married
16,no,female,6,not_member,12.05,28,White,Professional,Manufacturing,Unmarried
14,yes,male,15,not_member,22,35,White,Professional,Other,Married
12,no,male,30,not_member,8.75,48,White,Professional,Other,Married
18,no,male,8,not_member,22.2,32,White,Professional,Other,Married
18,no,male,5,not_member,17.25,29,White,Professional,Manufacturing,Married
17,no,female,3,member,6,26,White,Professional,Other,Unmarried
13,yes,male,17,not_member,8.06,36,White,Professional,Other,Married
16,no,male,5,member,9.24,27,Other,Professional,Manufacturing,Married
14,no,female,10,not_member,12,30,White,Professional,Other,Married
15,no,female,33,not_member,10.61,54,White,Professional,Other,Unmarried
18,no,male,3,not_member,5.71,27,White,Professional,Other,Married
16,no,female,0,not_member,10,18,White,Professional,Other,Unmarried
16,yes,male,13,not_member,17.5,35,Other,Professional,Other,Married
18,no,male,12,not_member,15,36,White,Professional,Other,Married
16,no,female,6,not_member,7.78,28,White,Professional,Other,Married
17,no,male,7,not_member,7.8,30,White,Professional,Other,Married
16,yes,male,14,member,10,36,White,Professional,Other,Married
17,no,female,5,not_member,24.98,28,White,Professional,Other,Unmarried
15,yes,female,10,not_member,10.28,31,White,Professional,Other,Married
18,no,female,11,not_member,15,35,White,Professional,Other,Married
17,no,female,24,not_member,12,47,White,Professional,Other,Married
16,no,male,9,not_member,10.58,31,White,Professional,Manufacturing,Unmarried
18,yes,male,12,not_member,5.85,36,White,Professional,Other,Married
18,no,male,19,not_member,11.22,43,White,Professional,Other,Married
14,no,female,14,not_member,8.56,34,White,Professional,Other,Married
16,no,female,17,not_member,13.89,39,White,Professional,Manufacturing,Unmarried
18,yes,male,7,not_member,5.71,31,White,Professional,Other,Unmarried
18,no,male,7,not_member,15.79,31,White,Professional,Other,Married
16,no,female,22,not_member,7.5,44,White,Professional,Other,Married
12,no,female,28,not_member,11.25,46,White,Professional,Other,Married
16,no,female,16,not_member,6.15,38,White,Professional,Other,Unmarried
16,yes,male,16,not_member,13.45,38,Other,Professional,Other,Unmarried
16,no,female,7,not_member,6.25,29,White,Professional,Other,Married
12,no,female,11,not_member,6.5,29,White,Professional,Other,Unmarried
12,no,female,11,not_member,12,29,White,Professional,Other,Married
12,no,female,16,not_member,8.5,34,White,Professional,Other,Unmarried
18,no,male,33,member,8,57,White,Professional,Other,Unmarried
12,yes,female,21,not_member,5.75,39,White,Professional,Other,Married
16,no,male,4,not_member,15.73,26,White,Professional,Manufacturing,Married
15,no,male,13,not_member,9.86,34,White,Professional,Other,Married
18,no,male,14,member,13.51,38,White,Professional,Other,Married
16,no,female,10,not_member,5.4,32,White,Professional,Other,Married
18,yes,male,14,not_member,6.25,38,White,Professional,Other,Married
16,yes,male,29,not_member,5.5,51,White,Professional,Other,Married
12,no,male,4,not_member,5,22,Hispanic,Professional,Other,Unmarried
18,no,male,27,not_member,6.25,51,Other,Professional,Other,Married
12,no,male,3,not_member,5.75,21,White,Professional,Other,Married
16,yes,male,14,member,20.5,36,White,Professional,Other,Married
14,no,male,0,not_member,5,20,White,Professional,Construction,Married
18,no,male,33,not_member,7,57,White,Professional,Other,Married
16,yes,male,38,not_member,18,60,White,Professional,Other,Married
18,no,female,18,member,12,42,White,Professional,Other,Married
17,no,male,3,not_member,20.4,26,White,Professional,Manufacturing,Unmarried
18,no,female,40,not_member,22.2,64,White,Professional,Other,Unmarried
14,no,male,19,not_member,16.42,39,White,Professional,Manufacturing,Unmarried
14,no,female,4,not_member,8.63,24,White,Professional,Other,Unmarried
16,no,female,11,not_member,19.38,33,White,Professional,Other,Married
16,no,female,16,not_member,14,38,White,Professional,Other,Married
14,no,male,22,not_member,10,42,White,Professional,Other,Married
17,no,female,13,member,15.95,36,White,Professional,Other,Unmarried
16,yes,female,28,member,20,50,White,Professional,Other,Married
16,no,female,10,not_member,10,32,White,Professional,Other,Married
16,yes,female,5,not_member,24.98,27,White,Professional,Other,Unmarried
15,no,male,5,not_member,11.25,26,White,Professional,Other,Unmarried
18,no,female,37,not_member,22.83,61,White,Professional,Manufacturing,Unmarried
17,no,female,26,member,10.2,49,White,Professional,Other,Married
16,yes,female,4,not_member,10,26,White,Professional,Other,Married
18,no,female,31,member,14,55,White,Professional,Other,Unmarried
17,no,female,13,member,12.5,36,White,Professional,Other,Married
12,no,female,42,not_member,5.79,60,White,Professional,Other,Married
17,no,male,18,not_member,24.98,41,Hispanic,Professional,Other,Married
12,no,female,3,not_member,4.35,21,White,Professional,Other,Married
17,no,female,10,not_member,11.25,33,White,Professional,Other,Unmarried
16,no,female,10,member,6.67,32,White,Professional,Other,Unmarried
16,no,female,17,not_member,8,39,Hispanic,Professional,Other,Married
18,no,male,7,not_member,18.16,31,White,Professional,Other,Married
16,no,female,14,not_member,12,36,White,Professional,Other,Married
16,no,female,22,member,8.89,44,White,Professional,Other,Married
17,no,female,14,not_member,9.5,37,White,Professional,Other,Married
16,no,male,11,not_member,13.65,33,White,Professional,Other,Married
18,no,male,23,member,12,47,White,Professional,Other,Married
12,no,male,39,member,15,57,White,Professional,Other,Married
16,no,male,15,not_member,12.67,37,White,Professional,Other,Married
14,no,female,15,not_member,7.38,35,Hispanic,Professional,Other,Unmarried
16,no,male,10,not_member,15.56,32,White,Professional,Other,Unmarried
12,yes,female,25,not_member,7.45,43,White,Professional,Other,Unmarried
14,no,female,12,not_member,6.25,32,White,Professional,Other,Married
16,yes,female,7,not_member,6.25,29,Hispanic,Professional,Other,Married
17,no,male,7,member,9.37,30,White,Professional,Other,Married
16,no,male,17,not_member,22.5,39,White,Professional,Manufacturing,Married
16,no,male,10,member,7.5,32,White,Professional,Other,Married
17,yes,male,2,not_member,7,25,White,Professional,Other,Married
9,yes,female,34,member,5.75,49,Other,Professional,Other,Married
15,no,female,11,not_member,7.67,32,White,Professional,Other,Married
15,no,male,10,not_member,12.5,31,White,Professional,Other,Unmarried
12,yes,male,12,not_member,16,30,White,Professional,Other,Married
16,no,female,6,member,11.79,28,White,Professional,Other,Unmarried
18,no,male,5,not_member,11.36,29,White,Professional,Other,Unmarried
12,no,female,33,not_member,6.1,51,Other,Professional,Other,Married
17,no,female,25,member,23.25,48,Other,Professional,Other,Married
12,yes,male,13,member,19.88,31,White,Professional,Other,Married
16,no,male,33,not_member,15.38,55,White,Professional,Manufacturing,Married
