Actual Time	Age	Community Building	Community Membership_Family	Community Membership_Hobbies	Community Membership_None	Community Membership_Other	Community Membership_Political	Community Membership_Professional	Community Membership_Religious	Community Membership_Support	Country	Disability_Cognitive	Disability_Hearing	Disability_Motor	Disability_Not Impaired	Disability_Not Say	Disability_Vision	Education Attainment	Falsification of Information	Gender	Household Income	How You Heard About Survey_Banner	How You Heard About Survey_Friend	How You Heard About Survey_Mailing List	How You Heard About Survey_Others	How You Heard About Survey_Printed Media	How You Heard About Survey_Remebered	How You Heard About Survey_Search Engine	How You Heard About Survey_Usenet News	How You Heard About Survey_WWW Page	Major Geographical Location	Major Occupation	Marital Status	Most Import Issue Facing the Internet	Opinions on Censorship	Primary Computing Platform	Primary Language	Primary Place of WWW Access	Race	Not Purchasing_Bad experience	Not Purchasing_Bad press	Not Purchasing_Cant find	Not Purchasing_Company policy	Not Purchasing_Easier locally	Not Purchasing_Enough info	Not Purchasing_Judge quality	Not Purchasing_Never tried	Not Purchasing_No credit	Not Purchasing_Not applicable	Not Purchasing_Not option	Not Purchasing_Other	Not Purchasing_Prefer people	Not Purchasing_Privacy	Not Purchasing_Receipt	Not Purchasing_Security	Not Purchasing_Too complicated	Not Purchasing_Uncomfortable	Not Purchasing_Unfamiliar vendor	Registered to Vote	Sexual Preference	Web Ordering	Web Page Creation	Who Pays for Access_Don't Know	Who Pays for Access_Other	Who Pays for Access_Parents	Who Pays for Access_School	Who Pays for Access_Self	Who Pays for Access_Work	Willingness to Pay Fees	Years on Internet	who
Other	26	Equally	0	1	0	0	0	0	0	0	Australia	0	0	0	1	0	0	College	26-50	Female	Not Say	0	0	0	0	0	0	1	0	0	Oceania	Other	Married	Privacy	4	NT	English	Primarily home	White	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	Not Say	Not say	No	Yes	0	0	0	0	1	0	Other sources	1-3 yr	id90490
CEO	42	More	1	1	0	0	0	0	1	0	Texas	0	0	0	1	0	0	Some College	Under 25	Male	Over $100	0	0	0	0	0	0	0	1	0	USA	Management	Married	Censorship	1	Win95	English	Primarily work	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	0	0	1	Other sources	1-3 yr	id90491
Other	19	More	0	0	0	0	1	0	0	0	Tennessee	0	0	0	1	0	0	Other	Over 75	Female	$75-99	1	0	1	0	1	1	1	0	1	USA	Computer	Single	Navigation	1	Win95	English	School	Black	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Yes	Not say	No	Dont know	0	0	0	1	0	0	Poor quality	Under 6 mo	id90492
Retired	46	Dont Know	0	1	0	1	0	0	0	1	Nevada	0	0	0	1	0	0	Some College	Never	Male	$20-29	0	0	0	1	0	0	0	0	1	USA	Other	Married	Other	1		English	Home	Asian	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other sources	6-12 mo	id90493
Homemaker	40	More	0	1	0	0	0	0	0	1	California	1	0	0	0	0	0	Masters	Never	Female	Not Say	0	0	1	0	0	0	0	0	0	USA	Other	Separated	Taxes	4	Win95	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Not Say	Heterosexual	Yes	Yes	0	1	0	0	0	0	Cost too high	6-12 mo	id5394
Manager	28	Dont Know	0	0	1	0	0	0	0	0	Ohio	0	0	0	1	0	0	Masters	Under 25	Female	$50-74	0	0	0	0	0	0	0	0	1	USA	Management	Married	Privacy	4	Win95	English	Primarily home	White	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other	1-3 yr	id90497
Other	60	Equally	1	0	0	0	0	0	1	0	Texas	0	1	0	0	0	1	Some College	Never	Female	$50-74	0	0	0	0	0	0	0	0	1	USA	Other	Married	Navigation	1	Win95	English	Home	White	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other sources	Under 6 mo	id90498
Other	52	More	0	1	0	0	0	0	0	0	Virginia	0	0	0	1	0	0	Some College	Never	Male	$40-49	0	0	0	0	0	0	0	0	1	USA	Computer	Single	Censorship	1	Win95	English	Work	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	0	1	Other	1-3 yr	id90500
Civil Servant	35	Dont Know	0	0	1	0	0	0	0	0	Georgia	0	0	0	1	0	0	College	Never	Male	$30-39	0	0	0	0	0	0	0	0	1	USA	Other	Other	Privacy	1		English	Home	Black	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	No	Heterosexual	No	No	0	0	0	0	1	0	Other sources	Under 6 mo	id90501
Manager	62	Dont Know	0	0	1	0	0	0	0	0	New Jersey	0	0	0	1	0	0	High School	Never	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Management	Divorced	Don't Know	2		English	Home	White	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	Not Say	Not say	Yes	No	0	0	0	0	1	0	Other sources	6-12 mo	id90507
Other	48	Dont Know	0	0	1	0	0	0	0	0	Colorado	0	0	0	1	0	0	Special	Never	Male	$50-74	1	0	0	0	0	0	0	0	0	USA	Management	Married	Privacy	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id90509
Other	38	More	0	0	0	1	0	0	0	0	Louisiana	0	0	0	0	0	1	High School	Never	Male	$40-49	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Privacy	3		English	Home	White	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id13794
Other	53	More	1	1	0	0	0	0	0	0	New Hampshire	0	0	0	1	0	0	Some College	Never	Male	$40-49	0	0	0	0	0	0	0	0	1	USA	Other	Married	Privacy	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id90514
Administrator/Secretary	28	More	0	1	0	1	1	0	1	1	California	0	0	0	1	0	0	Some College	Not Say	Male	$10-19	1	0	0	0	0	0	0	0	0	USA	Professional	Other	Dont Know	2		English	Home	White	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Gay male	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id38977
Other	47	Dont Know	0	0	1	0	0	0	0	0	Connecticut	0	0	0	1	0	0	College	Never	Male	Over $100	0	0	0	1	0	0	0	1	0	USA	Other	Married	Privacy	1		English	Home	White	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other	6-12 mo	id55216
Health Care Worker	Not Say!	Dont Know	0	0	1	0	0	0	0	0	Alberta	0	0	0	1	0	0	Other	Never	Male	$30-39	0	0	0	0	0	0	0	0	1	Canada	Professional	Separated	Other	4		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id90518
Other	36	More	0	0	0	0	0	0	0	1	Georgia	0	0	0	1	0	0	Special	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Other	Married	Censorship	1		English	Home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id90520
Homemaker	41	Equally	0	1	0	0	0	0	0	0	Illinois	0	0	0	1	0	0	Masters	Not Say	Female	Over $100	0	0	0	0	0	0	0	0	1	USA	Other	Married	Privacy	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	6-12 mo	id90521
K-12 Student	15	Equally	0	1	0	0	0	0	0	0	Utah	0	0	0	1	0	0	High School	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Education	Single	Privacy	1	Win95	English	Home	White	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Not Applicable	Heterosexual	No	No	0	0	1	0	0	0	Other sources	6-12 mo	id90522
Retired	80	Equally	1	0	0	0	0	0	0	0	Florida	0	0	0	1	0	0	Some College	NA	Male	$20-29	0	0	0	0	0	0	0	1	0	USA	Other	Married	Navigation	4		English	Home	White	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	6-12 mo	id90524
Other	29	Equally	1	0	0	0	0	0	0	0	California	0	0	0	1	0	0	High School	Never	Female	$40-49	0	0	0	0	0	0	0	0	1	USA	Computer	Married	Privacy	4	Win95	English	Primarily work	White	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	1-3 yr	id92280
Other	45	More	0	0	0	0	0	1	0	0	Ohio	0	0	0	1	0	0	Masters	Never	Male	$75-99	0	0	0	0	0	0	1	0	1	USA	Professional	Married	Encryption	4	Win95	English	Primarily work	White	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Dont trust	6-12 mo	id91465
Retired	58	Less	1	0	0	0	0	0	0	0	North Carolina	0	0	0	1	0	0	Some College	NA	Male	$20-29	0	0	0	0	0	0	0	1	1	USA	Other	Married	Privacy	2		English	Home	White	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	6-12 mo	id96287
K-12 Educator	26	Equally	0	1	0	1	0	1	0	0	Georgia	0	0	0	1	0	0	Masters	Never	Male	$20-29	0	0	0	1	0	0	0	0	0	USA	Education	Single	Navigation	1	Macintosh	English	Home	White	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	1-3 yr	id96742
Attorney/Judge	23	Equally	1	0	0	0	1	1	0	0	Georgia	0	0	0	1	0	0	College	Never	Female	Under $10	0	0	0	0	0	0	0	0	1	USA	Professional	Other	Privacy	2	Dont Know	English	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	1	0	0	Already paying	4-6 yr	id92585
Military	34	Equally	0	0	0	1	0	0	0	0	Washington	0	0	0	1	0	0	Some College	NA	Male	$20-29	1	0	0	0	0	0	0	0	0	USA	Other	Single	Privacy	1		English	Primarily home	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	1-3 yr	id92971
Manager	35	More	1	1	0	0	1	1	0	1	New York	0	0	0	1	0	0	Masters	Never	Male	$75-99	0	0	0	0	0	0	0	0	1	USA	Management	Divorced	Other	1	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Not Say	Gay male	Yes	Yes	0	0	0	0	1	0	Other sources	Over 7 yr	id95750
Accountant	32	Equally	0	0	1	0	0	0	0	0	Ontario	0	0	0	1	0	0	Masters	Never	Male	Over $100	0	0	0	0	0	0	0	0	1	Canada	Professional	Separated	Dont Know	4	Win95	English	Primarily work	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Not Applicable	Heterosexual	Yes	No	0	0	0	0	0	1	Poor quality	6-12 mo	id96907
Retired	55	Dont Know	0	0	1	0	0	0	0	0	Florida	0	0	0	1	0	0	Some College	Never	Male	Not Say	1	0	0	0	0	0	0	0	1	USA	Other	Single	Censorship	2		English	Home	White	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id94181
Broadcast/Media Professional	57	More	1	1	0	1	0	1	0	1	Tennessee	0	0	0	1	0	0	Some College	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Professional	Other	Censorship	1	Win95	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Yes	Gay male	Yes	No	0	0	0	0	1	0	Other sources	1-3 yr	id90557
College Student	21	More	0	0	1	0	0	0	0	0	Pennsylvania	0	0	0	0	0	1	Some College	Under 25	Female	Under $10	0	0	0	0	0	0	0	0	1	USA	Education	Single	Censorship	4	NT	English	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Yes	Bisexual	Yes	Yes	0	0	1	1	0	0	Other sources	4-6 yr	id71699
Homemaker	35	More	1	1	0	0	0	0	0	1	Alabama	0	0	0	1	0	0	College	Under 25	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Other	Married	Censorship	1	Win95	English	Home	White	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other	1-3 yr	id90564
Other	30	Dont Know	0	0	1	0	0	0	0	0	Switzerland	0	0	0	1	0	0	Masters	Under 25	Female	$30-39	0	0	0	1	0	0	0	0	0	Europe	Education	Single	Other	2	Win95	French	Work	White	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	Yes	Heterosexual	No	No	0	0	0	0	0	1	Other sources	4-6 yr	id93195
Mircocomputer	20	More	1	1	0	0	0	1	0	0	Oregon	0	0	0	0	0	1	College	Under 25	Female	$50-74	0	0	0	0	0	0	1	0	1	USA	Computer	Other	Censorship	1	NT	English	Primarily home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Cost too high	4-6 yr	id96533
Service Industry Occupation	31	Dont Know	1	0	0	0	0	0	0	0	Florida	0	0	0	1	0	0	Special	Never	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Single	Censorship	1		English	Home	White	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	1	No	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	Under 6 mo	id90567
Counselor	52	Dont Know	0	0	1	0	0	0	0	0	California	0	0	0	1	0	0	Masters	Never	Female	$40-49	0	0	0	0	1	0	0	0	1	USA	Professional	Divorced	Privacy	3		English	Home	Black	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	Under 6 mo	id90575
Other	51	Equally	0	0	1	0	0	0	0	0	Oregon	0	0	0	1	0	0	College	Over 75	Male	$50-74	0	0	0	1	0	0	0	0	0	USA	Computer	Married	Censorship	1	Win95	English	Primarily work	Other	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	Yes	Heterosexual	Yes	No	0	0	0	0	0	1	Other sources	1-3 yr	id90576
Consultant	24	Less	0	1	0	0	0	0	0	0	Illinois	0	0	0	1	0	0	Masters	Under 25	Male	$40-49	0	0	0	0	0	0	0	0	1	USA	Professional	Single	Privacy	1	Windows	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	0	1	Other sources	4-6 yr	id90578
K-12 Educator	35	Less	0	0	1	0	0	0	0	0	Iowa	0	1	0	0	0	0	Masters	Under 25	Male	$30-39	0	0	0	1	0	0	0	0	1	USA	Education	Single	Navigation	4		English	Primarily home	White	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Not say	Yes	Yes	0	0	0	0	1	1	Other sources	6-12 mo	id90582
Consultant	44	Dont Know	0	0	1	0	0	0	0	0	Texas	0	0	0	1	0	0	Some College	Never	Female	Over $100	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Taxes	1	Win95	English	Other	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Not Applicable	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	1-3 yr	id90583
Manager	47	More	1	1	0	0	1	0	1	0	Mississippi	0	0	0	1	0	0	Special	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Management	Married	Dont Know	1	Win95	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	1-3 yr	id91109
College Student	27	Equally	1	1	0	1	0	0	0	0	Netherlands	0	0	0	1	1	0	Professional	Never	Male	Under $10	0	0	0	0	1	0	0	0	0	Europe	Education	Single	Taxes	3	Win95	Dutch	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	4-6 yr	id97535
Attorney/Judge	24	Equally	0	0	1	0	0	0	0	0	Colorado	0	0	0	1	0	0	Professional	Never	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Other	1	Win95	English	Primarily home	White	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	1	0	0	Other sources	4-6 yr	id77475
K-12 Student	17	Equally	0	0	1	0	0	0	0	0	Wisconsin	0	0	0	1	0	0	High School	Never	Male	$30-39	1	0	0	0	0	0	0	0	0	USA	Education	Single	Privacy	1	Macintosh	English	Primarily home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	No	Heterosexual	Yes	Yes	0	0	1	0	0	0	"Yes, regardless"	6-12 mo	id90439
K-12 Educator	32	More	0	0	0	0	0	1	0	0	Maryland	0	0	0	1	0	0	Masters	Never	Male	$75-99	0	0	0	0	0	0	0	0	1	USA	Education	Married	Censorship	2	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	1-3 yr	id90589
Administrator/Secretary	41	Dont Know	0	0	1	0	0	0	0	0	Montana	0	0	0	1	0	0	Some College	NA	Female	$10-19	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Privacy	1	Win95	English	Home	White	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other sources	Under 6 mo	id90591
College Student	26	Equally	0	0	1	0	0	0	0	0	Oregon	0	0	0	1	0	0	College	Under 25	Female	$20-29	0	0	0	0	0	0	0	0	1	USA	Education	Single	Encryption	1	Win95	English	Primarily home	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Lesbian	Yes	Yes	0	0	0	0	1	0	Other sources	4-6 yr	id98987
Manager	39	Dont Know	0	0	1	0	0	0	0	0	Minnesota	0	0	0	1	0	0	Some College	Never	Female	$50-74	0	0	0	0	0	0	0	0	1	USA	Management	Other	Other	1	Win95	English	Primarily home	White	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	Yes	Heterosexual	Yes	No	0	1	0	0	0	0	Other sources	1-3 yr	id90594
Engineer	54	Equally	0	0	0	1	0	0	0	0	Florida	0	0	0	1	0	0	College	Never	Male	$75-99	1	0	0	0	0	0	0	0	0	USA	Professional	Married	Censorship	2	Win95	English	Primarily work	White	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	Yes	Heterosexual	No	No	0	0	0	0	0	1	Already paying	1-3 yr	id90595
Retired	45	Dont Know	0	0	0	0	0	0	0	1	Maryland	0	0	1	0	0	0	Some College	Under 25	Female	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Divorced	Privacy	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	6-12 mo	id90596
Other	27	Dont Know	0	0	1	0	0	0	0	0	Washington	0	0	0	1	0	0	College	Never	Female	$50-74	0	0	0	1	0	0	0	0	0	USA	Professional	Married	Navigation	2	Win95	English	Primarily work	White	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	0	0	1	Other sources	1-3 yr	id90599
Other	26	More	1	1	0	0	0	1	0	0	Alberta	0	0	0	1	0	0	Grammar	NA	Male	Not Say	0	1	0	0	0	0	0	0	0	Canada	Computer	Married	Censorship	1	Macintosh	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Yes	Not say	Yes	Yes	0	0	0	0	1	1	Poor quality	4-6 yr	id97048
Other	19	Dont Know	1	1	0	0	0	0	0	0	New Zealand	0	0	0	1	0	0	High School	NA	Male	Not Say	0	0	0	0	0	0	0	0	1	Oceania	Other	Single	Navigation	3	Win95	English	Home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other	1-3 yr	id99095
Other	Not Say!	Less	0	0	1	0	0	0	0	0	Florida	0	0	0	1	0	0	Some College	Under 25	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Computer	Married	Censorship	1	Win95	English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	4-6 yr	id71673
College Student	41	Dont Know	0	0	1	0	0	0	0	0	Arizona	0	0	1	0	0	0	Some College	Under 25	Male	$75-99	0	0	0	0	0	0	0	0	1	USA	Education	Single	Privacy	1	Macintosh	English	School	Indigenous	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	1	0	0	Payment mechanism	1-3 yr	id90607
Vice President	54	Dont Know	0	0	0	0	0	1	0	0	Virginia	0	0	0	1	0	0	Masters	Never	Female	$75-99	0	0	0	0	0	0	0	0	1	USA	Management	Other	Navigation	1	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	0	1	Other	1-3 yr	id90609
K-12 Educator	42	More	0	1	0	1	0	1	0	0	California	0	0	0	1	0	0	College	Never	Female	$40-49	0	0	0	0	0	0	0	0	1	USA	Education	Married	Censorship	1	Win95	English	Home	Indigenous	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	1-3 yr	id90610
Other	48	Dont Know	0	0	1	0	0	0	0	0	Indiana	0	0	0	1	0	0	Some College	Never	Male	$50-74	0	0	0	1	0	0	0	0	0	USA	Other	Married	Encryption	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	0	1	0	Other sources	6-12 mo	id96824
Looking	43	Dont Know	0	0	0	1	0	0	0	0	Indiana	0	0	0	0	0	1	Other	Not Say	Male	Not Say	0	0	0	1	0	0	0	0	0	USA	Other	Married	Privacy	1		English	Other	White	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other	Over 7 yr	id93078
Self Employed	30	Equally	0	0	1	0	0	0	0	0	Belgium	0	0	0	1	0	0	Masters	Never	Male	$50-74	0	0	0	0	1	0	0	0	0	Europe	Management	Other	Navigation	4	Win95	French	Primarily work	White	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	0	1	Poor quality	Under 6 mo	id90611
CIO	25	More	0	0	0	0	0	1	0	0	China	0	0	0	1	0	0	College	Under 25	Male	Under $10	0	0	0	0	0	0	0	0	1	Asia	Computer	Single	Navigation	4	Win95	Chinese	Primarily work	Asian	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	0	1	1	Payment mechanism	1-3 yr	id95647
Other	40	More	0	0	1	0	0	0	0	0	North Carolina	0	0	0	1	0	0	Special	Never	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Management	Divorced	Censorship	1	Windows	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	No	Heterosexual	No	Yes	0	0	0	0	1	0	Other sources	Over 7 yr	id92021
Other	61	More	1	1	0	0	0	1	0	0	Maryland	0	0	0	1	0	0	Masters	NA	Male	$75-99	1	0	0	0	0	0	0	0	0	USA	Professional	Married	Censorship	1	Win95	English	Primarily home	White	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	1	0	1	1	Yes	Heterosexual	No	No	0	0	0	0	1	1	Already paying	6-12 mo	id98072
Retired	5	Dont Know	0	0	1	0	0	0	0	0	Michigan	1	0	0	0	0	0	Special	Under 25	Male	$50-74	1	0	0	0	0	0	0	0	0	USA	Other	Other	Don't Know	1		English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id90617
Other	54	More	0	1	0	0	0	0	0	0	Florida	0	0	0	1	0	0	Masters	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Computer	Married	Privacy	1	Windows	English	Primarily work	White	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other sources	Under 6 mo	id90618
Other	34	Dont Know	0	0	1	0	0	0	0	0	California	0	0	0	1	0	0	College	Under 25	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Management	Married	Other	2	NT	English	Work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Poor quality	4-6 yr	id92473
College Student	21	Dont Know	0	0	1	0	0	0	0	0	Virginia	0	0	0	1	0	0	Some College	Under 25	Female	Under $10	0	0	0	0	0	0	0	0	1	USA	Education	Single	Culture	2	Macintosh	English	Primarily work	White	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	Yes	Heterosexual	No	No	0	0	0	1	0	0	Other sources	4-6 yr	id94417
Other	24	More	0	1	0	0	0	1	0	0	Spain	0	0	0	1	0	0	College	51-75	Male	Not Say	0	0	1	0	0	0	0	0	0	Europe	Computer	Single	Taxes	1	Win95	Spanish	Primarily work	Hispanic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Payment mechanism	4-6 yr	id90619
Other	35	Dont Know	0	0	0	0	0	1	0	0	Washington D.C.	0	0	0	1	0	0	College	NA	Female	$20-29	0	0	0	0	0	0	0	0	1	USA	Professional	Single	Privacy	4	Win95	English	Work	White	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	0	1	Cost too high	6-12 mo	id90620
Other	29	Equally	0	1	0	0	0	0	0	0	California	0	0	0	1	0	0	Some College	Never	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Management	Single	Censorship	3		English	Home	White	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	No	Heterosexual	Yes	No	0	0	0	0	1	0	Payment mechanism	6-12 mo	id90621
