% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-authorship

@attribute a INTEGER
@attribute all INTEGER
@attribute also INTEGER
@attribute an INTEGER
@attribute and INTEGER
@attribute any INTEGER
@attribute are INTEGER
@attribute as INTEGER
@attribute at INTEGER
@attribute be INTEGER
@attribute been INTEGER
@attribute but INTEGER
@attribute by INTEGER
@attribute can INTEGER
@attribute do INTEGER
@attribute down INTEGER
@attribute even INTEGER
@attribute every INTEGER
@attribute for INTEGER
@attribute from INTEGER
@attribute had INTEGER
@attribute has INTEGER
@attribute have INTEGER
@attribute her INTEGER
@attribute his INTEGER
@attribute if INTEGER
@attribute in INTEGER
@attribute into INTEGER
@attribute is INTEGER
@attribute it INTEGER
@attribute its INTEGER
@attribute may INTEGER
@attribute more INTEGER
@attribute must INTEGER
@attribute my INTEGER
@attribute no INTEGER
@attribute not INTEGER
@attribute now INTEGER
@attribute of INTEGER
@attribute on INTEGER
@attribute one INTEGER
@attribute only INTEGER
@attribute or INTEGER
@attribute our INTEGER
@attribute should INTEGER
@attribute so INTEGER
@attribute some INTEGER
@attribute such INTEGER
@attribute than INTEGER
@attribute that INTEGER
@attribute the INTEGER
@attribute their INTEGER
@attribute then INTEGER
@attribute there INTEGER
@attribute things INTEGER
@attribute this INTEGER
@attribute to INTEGER
@attribute up INTEGER
@attribute upon INTEGER
@attribute was INTEGER
@attribute were INTEGER
@attribute what INTEGER
@attribute when INTEGER
@attribute which INTEGER
@attribute who INTEGER
@attribute will INTEGER
@attribute with INTEGER
@attribute would INTEGER
@attribute your INTEGER
@attribute BookID INTEGER
@attribute Author {Austen,London,Milton,Shakespeare}

@data
44,12,0,5,60,3,3,14,20,18,8,10,8,1,3,2,1,5,5,3,20,2,10,24,18,2,22,2,6,18,0,1,3,6,3,3,18,5,47,9,4,4,5,0,4,12,2,4,2,19,83,2,1,7,0,6,52,2,3,39,9,2,8,8,2,3,13,4,3,4,Austen
42,8,1,4,36,9,5,18,13,23,3,13,5,2,5,0,2,5,13,9,14,2,8,26,24,8,22,0,11,22,2,2,3,7,9,7,14,3,49,12,3,3,6,0,7,7,1,4,3,16,52,7,1,6,1,3,57,1,3,17,11,6,4,4,3,7,25,5,1,4,Austen
30,9,0,6,54,7,0,13,15,21,10,8,3,2,6,1,1,7,13,3,20,1,8,17,13,6,26,2,9,22,4,4,4,7,8,7,17,4,56,10,3,1,7,0,3,8,2,5,4,21,75,5,0,11,0,4,48,1,4,31,17,4,4,7,2,5,8,8,7,4,Austen
40,10,0,7,43,6,2,10,5,22,5,19,9,2,5,2,1,3,11,8,8,1,19,23,17,7,27,0,11,25,2,2,7,9,2,12,23,0,53,5,16,6,9,1,2,13,4,7,12,20,45,5,2,11,0,2,65,2,0,27,9,5,1,8,5,0,15,10,0,4,Austen
19,2,0,5,49,7,5,15,12,29,7,20,2,1,6,0,1,6,20,4,19,0,13,19,7,8,21,2,8,27,0,1,5,9,7,12,29,1,43,13,2,5,1,1,7,8,2,0,4,16,61,21,1,7,0,8,48,6,2,23,6,6,4,5,1,17,12,18,6,4,Austen
29,7,0,6,45,10,9,19,12,22,8,14,8,2,8,0,2,2,19,9,17,4,11,27,14,6,16,2,14,25,1,3,5,3,1,3,23,6,54,6,4,3,7,3,8,8,2,2,6,30,59,6,0,6,1,7,60,2,1,27,9,3,3,7,7,0,14,6,2,4,Austen
27,5,0,9,65,3,1,19,11,13,10,17,7,4,7,0,3,3,8,7,16,0,11,27,11,6,27,0,9,30,1,1,7,8,4,5,22,1,55,8,3,4,6,0,4,9,4,0,4,32,85,3,1,8,2,2,41,0,4,26,13,7,5,5,3,0,8,9,3,4,Austen
34,9,0,6,44,6,1,17,11,17,10,13,5,3,17,0,0,2,17,6,10,7,26,25,17,5,12,4,14,33,3,4,7,7,12,12,29,5,36,8,4,2,3,0,3,16,0,8,4,15,39,3,2,1,1,4,54,1,1,15,4,3,1,2,2,0,4,23,1,4,Austen
24,8,1,6,51,4,3,10,13,15,3,14,8,1,5,2,3,4,12,7,14,1,19,40,9,4,27,1,12,28,0,0,6,9,3,13,16,1,46,11,5,6,1,1,3,4,2,4,4,22,71,0,3,5,3,5,51,3,0,27,8,1,2,5,3,1,9,14,1,4,Austen
22,6,0,4,41,7,6,10,17,22,0,18,7,4,14,2,2,2,4,4,11,1,11,20,1,15,15,3,20,29,1,3,5,1,12,14,17,2,26,5,5,4,3,1,8,8,2,4,3,16,58,2,7,7,0,2,61,0,1,12,5,5,4,0,0,11,19,10,6,4,Austen
30,9,0,3,45,6,4,18,14,20,6,13,3,3,8,2,0,4,13,7,20,1,13,19,10,3,15,1,12,18,0,1,5,4,5,2,31,2,35,6,7,3,3,5,5,17,2,4,7,15,59,2,1,5,0,8,37,0,0,30,6,6,3,1,1,5,8,11,4,4,Austen
22,11,1,3,43,10,5,7,13,17,6,12,3,8,14,0,1,4,17,7,8,3,20,9,6,9,25,1,18,27,0,3,4,7,4,8,23,6,31,5,10,3,2,0,3,14,2,2,0,12,58,3,1,3,0,4,55,3,1,19,4,5,6,3,3,7,8,7,8,4,Austen
31,5,0,6,48,3,6,9,20,49,8,15,3,10,12,0,1,5,19,3,7,2,9,4,7,8,17,1,16,46,2,3,0,3,7,9,27,2,46,6,7,4,1,1,2,13,0,5,8,22,76,2,1,10,1,5,40,6,3,17,6,5,4,3,4,17,9,18,5,4,Austen
31,11,0,3,50,9,8,14,16,26,3,14,6,3,11,1,1,2,19,4,6,1,7,16,6,9,20,1,11,32,3,1,2,9,4,4,35,2,35,5,6,2,7,4,1,9,3,2,4,10,74,5,1,5,1,8,42,2,2,28,6,8,3,4,3,12,2,8,5,4,Austen
28,8,0,0,43,7,5,10,13,26,11,12,4,4,7,2,1,10,17,6,20,2,14,20,21,10,21,1,10,37,0,3,7,10,8,4,21,3,43,5,4,4,1,2,1,10,4,3,3,23,49,2,2,5,1,12,62,2,1,41,3,4,8,3,3,7,8,10,5,4,Austen
27,12,0,2,57,6,3,15,8,20,11,11,3,4,13,1,1,7,22,6,18,0,13,31,23,2,30,3,12,31,2,1,10,6,13,4,29,5,59,9,1,3,4,0,1,6,1,3,9,19,57,6,1,3,2,6,52,2,6,39,7,7,5,6,0,5,6,9,5,4,Austen
39,11,0,6,53,6,6,20,13,22,7,16,5,1,5,0,0,3,15,4,16,3,15,25,6,2,23,0,21,25,1,0,2,3,7,8,30,2,44,4,6,5,7,2,2,11,0,3,1,19,65,0,2,7,0,5,47,2,0,30,8,4,5,5,8,6,16,9,0,4,Austen
45,2,0,4,39,8,8,11,12,23,9,15,1,4,7,0,0,3,12,6,9,8,12,12,2,1,22,4,14,27,2,2,8,5,14,9,21,4,50,5,3,1,2,1,4,13,3,3,7,20,47,6,1,4,1,3,53,5,5,20,5,3,9,3,5,5,8,12,5,4,Austen
38,8,1,2,58,9,4,13,8,24,6,13,6,6,9,0,2,1,7,4,13,3,17,44,1,6,18,2,24,20,1,4,5,9,16,7,29,1,35,7,6,1,5,1,7,9,0,11,7,16,42,2,0,4,0,5,67,2,2,13,7,5,3,6,6,6,15,4,3,4,Austen
37,5,0,2,36,10,6,12,6,17,3,12,8,7,3,0,1,1,19,4,9,4,22,47,5,4,28,4,15,5,0,7,4,6,7,7,24,3,49,6,2,2,9,2,5,4,6,6,8,20,53,1,0,4,2,7,47,0,4,19,5,11,2,5,3,7,24,7,3,4,Austen
30,5,0,3,45,1,9,13,18,19,4,11,7,1,5,0,2,6,14,5,13,2,19,25,12,3,26,0,13,27,2,2,7,9,6,6,27,5,39,5,5,3,2,1,6,7,2,0,13,16,66,5,1,3,0,7,54,1,1,26,9,3,7,5,2,5,15,10,4,4,Austen
30,6,1,8,53,12,11,11,7,18,3,12,7,6,14,1,2,2,10,4,16,2,14,12,12,10,14,2,20,27,0,0,2,12,17,8,26,4,40,6,9,0,6,4,4,8,6,8,3,23,54,5,1,5,0,6,53,1,2,16,6,2,4,1,2,4,7,3,9,4,Austen
40,10,1,1,35,14,10,24,8,21,10,21,7,2,12,0,4,4,14,3,14,0,20,9,13,2,32,2,16,19,0,6,5,5,15,5,26,3,46,7,2,4,6,0,5,3,2,5,4,14,66,0,2,6,0,5,59,3,0,13,1,4,3,2,7,6,10,17,8,4,Austen
33,6,0,8,33,3,7,6,5,19,9,12,6,1,6,0,0,4,11,6,6,10,25,19,10,6,31,2,30,27,0,7,1,5,12,5,27,4,34,9,4,2,6,1,0,13,2,5,5,21,38,0,1,3,2,8,60,4,2,23,4,8,6,5,1,11,11,12,2,4,Austen
31,8,0,5,49,4,6,12,14,32,6,16,3,3,11,4,2,2,20,7,9,8,17,15,10,8,21,2,28,21,0,6,8,6,10,6,28,1,47,4,7,4,7,1,5,8,3,2,6,21,41,6,1,10,1,3,51,0,3,19,5,2,4,9,8,6,15,10,11,4,Austen
40,5,0,4,45,4,1,20,12,22,11,12,10,0,1,0,1,4,16,4,25,0,11,24,20,4,26,0,0,21,1,3,1,7,0,8,30,4,50,6,1,3,5,0,1,6,2,3,6,28,76,3,1,8,0,4,63,0,0,60,14,4,1,3,3,1,8,8,0,4,Austen
27,6,0,5,45,5,12,13,8,15,2,10,11,2,21,0,0,3,12,2,14,1,12,19,11,2,16,3,14,15,1,2,2,9,15,5,24,1,23,3,2,0,3,5,2,14,1,6,4,12,35,3,3,4,1,11,58,1,5,24,11,4,2,5,5,2,15,5,2,4,Austen
23,7,2,3,54,6,11,9,8,17,6,15,3,1,5,2,1,5,8,2,14,3,6,31,13,7,16,2,12,20,1,1,6,5,8,8,30,1,35,7,7,5,1,0,4,7,4,3,8,12,40,1,1,14,1,5,40,4,1,38,14,4,2,5,6,5,11,11,9,4,Austen
44,10,1,6,68,2,4,15,15,13,10,5,14,1,1,0,1,5,12,4,39,2,7,33,12,3,21,3,4,20,2,0,8,6,0,8,18,1,50,11,1,0,3,0,1,6,3,8,5,12,80,5,3,3,0,7,61,2,0,31,9,3,3,8,3,4,13,4,2,4,Austen
29,9,0,5,56,4,2,19,5,11,4,15,3,3,12,3,0,2,12,4,16,2,17,19,8,2,23,1,14,52,1,1,8,2,14,6,27,8,34,5,6,1,4,0,5,11,4,1,3,21,47,2,5,5,2,12,46,4,1,28,3,5,4,5,0,4,10,5,4,4,Austen
27,9,1,8,49,6,5,11,17,18,5,5,3,3,5,1,1,2,10,11,18,0,13,17,20,5,21,3,15,50,2,1,4,6,5,8,18,2,59,8,4,4,4,1,4,7,4,9,1,14,36,5,1,7,1,5,60,4,2,27,10,9,7,6,5,7,7,7,12,4,Austen
33,4,2,4,49,8,2,15,9,17,4,7,5,3,7,0,1,3,21,6,20,0,10,27,13,2,20,2,13,41,1,1,3,6,5,8,20,2,29,6,4,1,6,0,2,11,4,3,5,15,57,2,1,5,0,4,64,4,0,31,8,3,1,13,6,6,20,4,4,4,Austen
40,11,0,5,57,4,11,16,6,34,5,9,7,5,1,0,2,11,12,3,13,0,15,15,5,6,17,2,18,28,2,5,2,4,11,8,21,4,43,8,6,6,4,1,5,6,3,10,2,17,54,2,0,6,1,6,69,1,1,22,5,5,2,10,1,15,12,11,6,4,Austen
40,16,1,8,76,5,1,13,18,14,9,6,4,0,1,4,0,6,10,5,18,0,7,19,11,3,33,0,0,27,6,0,6,4,1,4,17,5,50,4,5,5,5,0,4,6,4,4,5,10,72,2,1,4,0,4,63,0,1,39,9,4,4,12,3,0,21,7,0,4,Austen
27,15,0,5,45,4,10,15,14,33,9,9,9,4,7,1,3,5,12,4,21,0,14,15,10,5,27,3,9,18,0,6,7,4,8,8,22,3,48,4,1,4,4,1,6,7,11,7,2,13,55,2,1,5,0,3,52,2,1,23,10,3,7,4,5,16,11,8,4,4,Austen
26,15,0,4,48,9,12,11,9,24,2,16,5,3,6,1,0,7,13,6,11,1,8,18,5,2,19,2,13,27,1,2,1,4,8,8,26,2,39,9,5,2,11,1,4,8,3,2,5,16,40,1,2,7,4,2,52,1,2,20,11,10,3,6,3,14,9,4,7,4,Austen
28,10,0,8,42,10,4,11,11,19,5,13,9,8,7,2,3,4,17,8,11,3,18,35,4,5,32,1,13,25,1,1,5,10,10,8,16,5,42,5,10,8,4,0,2,11,4,5,2,11,44,4,1,6,3,4,53,1,1,21,12,7,7,2,7,8,13,5,8,4,Austen
31,9,0,1,47,10,6,19,8,25,4,14,0,2,3,4,1,3,7,5,19,4,8,39,2,5,18,3,16,32,0,3,7,9,6,8,27,4,29,7,6,3,5,1,5,10,1,7,3,16,54,0,2,8,0,2,36,5,8,25,12,3,5,1,1,11,11,16,3,4,Austen
28,15,0,3,54,3,5,14,11,14,14,16,4,1,3,0,1,5,5,7,22,2,17,32,18,6,17,0,12,38,0,0,6,7,5,5,22,7,39,10,1,2,5,0,4,14,3,7,4,20,49,1,2,6,0,6,57,2,2,28,6,9,6,7,1,9,14,10,1,4,Austen
32,12,1,9,49,13,1,9,12,31,7,11,6,0,4,0,2,6,14,9,21,2,7,46,8,0,21,3,6,23,3,0,8,2,2,9,14,4,43,13,5,5,5,0,2,10,3,5,5,27,60,2,1,2,1,4,67,0,0,44,5,4,4,5,3,2,17,18,0,4,Austen
25,10,0,5,36,8,7,14,13,22,9,8,4,7,10,0,4,1,6,2,6,12,16,26,8,3,20,1,25,41,2,6,7,5,12,11,31,5,31,11,3,2,0,3,2,9,4,3,5,27,27,1,4,5,1,16,60,2,4,15,8,13,5,4,2,12,17,4,6,4,Austen
45,8,0,4,51,3,3,12,10,13,16,12,6,2,3,0,3,4,15,6,19,4,27,23,21,3,31,2,7,22,3,9,1,5,6,4,22,8,53,20,7,5,3,0,5,5,2,10,2,29,53,3,1,5,1,11,54,0,1,21,2,9,3,12,1,0,16,4,2,4,Austen
20,3,0,5,36,13,3,18,12,21,17,14,5,2,9,1,2,4,11,6,26,2,24,15,3,11,14,2,7,29,1,3,6,7,5,7,30,5,32,6,4,0,5,0,15,11,2,3,6,33,45,0,3,6,2,6,52,1,2,29,6,6,5,3,5,1,10,10,8,4,Austen
30,9,0,3,35,5,0,15,9,20,20,12,15,0,1,0,1,8,14,15,50,0,6,60,14,1,26,2,1,21,0,1,9,5,0,4,14,6,56,12,3,3,6,0,5,9,5,7,8,31,72,1,0,1,0,6,62,0,0,25,5,3,9,10,5,2,16,4,1,4,Austen
26,13,0,8,53,5,0,9,13,27,13,12,6,0,3,0,5,11,22,8,48,0,9,46,15,6,27,0,0,31,2,0,3,6,0,8,19,4,55,10,6,5,6,0,3,8,0,4,4,19,48,2,1,2,1,7,73,0,0,26,8,3,4,6,4,0,16,17,0,4,Austen
20,18,0,6,46,3,3,13,10,30,19,10,8,4,4,0,4,9,15,8,35,3,17,43,6,8,17,2,7,18,0,1,6,13,6,10,17,3,53,12,5,5,7,0,2,9,2,5,2,31,71,4,5,4,0,5,60,3,0,27,9,7,4,17,1,4,9,9,1,4,Austen
48,10,0,3,46,5,6,17,12,24,9,10,6,4,4,0,3,4,24,6,16,6,22,27,21,4,31,3,8,18,0,4,11,8,8,11,16,2,40,7,5,4,3,0,0,3,2,8,6,23,53,3,0,3,1,4,54,1,0,30,7,5,3,4,2,9,14,3,6,4,Austen
30,11,1,5,30,8,7,27,7,16,16,9,5,2,2,0,3,3,13,12,40,1,17,32,16,8,23,3,9,23,1,6,9,3,5,15,21,3,45,4,4,6,10,0,3,6,0,5,2,18,51,1,4,6,0,5,65,2,0,23,1,11,2,9,0,6,12,7,2,4,Austen
27,9,0,11,44,11,2,12,6,21,9,11,11,1,3,1,4,6,16,12,15,1,20,32,3,3,29,1,3,23,1,1,5,11,19,4,16,4,58,9,4,5,6,1,2,7,4,6,2,20,69,1,4,1,0,3,65,1,0,29,5,6,5,9,2,11,15,6,6,4,Austen
24,10,0,2,43,7,0,24,11,14,9,15,10,3,2,0,3,4,12,11,13,4,29,41,2,4,23,1,6,22,4,1,1,10,27,2,24,4,41,10,2,1,2,1,5,7,1,7,2,25,64,0,3,2,1,4,65,1,1,24,4,8,4,9,2,7,22,10,1,4,Austen
39,9,0,0,44,5,2,11,10,13,11,13,6,2,4,0,2,4,11,3,18,3,21,17,24,3,20,0,13,35,1,2,5,10,9,5,20,3,60,5,9,1,3,2,6,10,2,4,8,19,53,2,2,6,0,9,61,0,0,25,5,4,4,3,1,9,18,7,4,4,Austen
36,8,0,5,38,9,0,17,14,31,9,19,5,0,2,0,4,8,12,6,27,0,9,49,13,3,35,2,5,34,0,0,5,9,0,8,16,6,65,7,3,5,5,0,6,11,1,10,3,14,52,6,0,6,0,9,66,1,0,38,3,1,2,15,1,2,15,16,0,4,Austen
42,11,0,3,43,4,5,16,16,14,5,10,5,2,10,0,1,3,16,9,11,2,19,20,10,4,12,2,24,22,0,2,3,3,16,10,33,2,33,11,5,4,1,7,5,10,4,5,3,17,55,1,1,6,3,9,57,3,6,19,0,7,5,7,3,4,6,5,4,4,Austen
22,13,0,6,36,5,7,18,10,29,11,15,12,3,10,1,5,2,12,8,11,4,27,28,5,6,16,0,13,32,0,2,10,5,13,9,29,3,40,12,6,1,1,2,8,10,1,3,6,27,31,2,0,5,0,3,64,0,0,24,8,8,4,8,2,13,12,15,4,4,Austen
31,16,0,4,44,8,1,18,10,22,6,15,12,2,4,0,4,7,11,6,16,2,9,18,12,8,28,3,9,39,1,2,5,7,10,10,25,2,49,12,7,5,7,2,6,18,3,6,6,26,64,3,2,4,0,1,56,1,2,37,2,4,7,3,4,5,12,12,8,4,Austen
22,11,0,6,49,6,4,16,12,17,5,13,5,5,7,2,2,2,10,5,8,6,6,24,12,2,25,0,13,29,2,2,8,7,8,7,32,6,29,13,7,4,5,3,2,8,5,3,6,22,46,5,2,4,1,8,46,3,2,26,9,5,4,8,2,6,13,13,6,4,Austen
36,7,1,5,51,1,5,7,9,16,6,14,2,4,5,1,0,3,18,3,15,2,15,37,10,1,37,0,12,15,2,4,4,3,6,12,17,9,46,6,2,1,6,4,0,9,5,9,3,19,57,2,3,9,2,5,61,0,1,29,6,3,6,8,0,0,19,9,5,4,Austen
25,6,2,6,57,4,2,19,13,24,17,13,8,4,1,0,2,5,27,6,31,0,9,32,12,4,26,3,4,22,3,0,3,5,4,5,15,4,49,9,3,4,2,0,3,6,1,6,3,21,85,3,0,1,0,9,59,2,0,37,10,4,2,7,5,3,15,9,0,4,Austen
25,10,0,8,44,3,6,19,15,21,5,14,7,3,0,0,0,1,20,9,1,8,20,40,12,7,31,3,17,17,1,2,6,4,30,7,15,4,40,9,3,2,0,5,4,12,3,2,3,21,38,2,0,5,0,7,81,2,0,15,7,3,4,7,5,5,15,4,7,5,Austen
31,7,0,9,59,4,5,23,11,23,4,15,6,5,4,0,2,1,15,11,4,10,17,40,11,3,16,0,23,17,0,4,4,11,20,3,22,2,53,12,7,1,2,1,5,14,5,2,2,24,40,1,0,3,0,4,65,0,1,12,2,5,5,12,1,7,12,2,9,5,Austen
23,5,0,6,53,6,3,15,15,15,7,8,14,5,1,0,0,1,13,7,4,9,13,35,20,4,32,1,21,15,2,9,5,2,27,2,17,3,63,10,3,1,2,2,3,10,6,4,4,23,37,1,0,2,1,9,65,0,1,10,3,1,8,11,3,5,11,6,4,5,Austen
30,9,0,10,39,4,1,15,9,19,1,18,11,10,9,0,2,2,10,8,4,8,11,28,11,5,22,1,19,21,1,5,6,9,33,9,12,6,65,5,3,6,2,6,7,14,1,4,3,25,37,2,1,1,0,8,77,1,0,4,3,2,4,15,1,6,10,13,30,5,Austen
21,5,1,1,39,3,4,24,4,19,12,19,14,6,4,0,1,1,16,8,6,13,19,46,10,9,22,0,31,22,0,6,1,11,27,5,16,2,56,11,2,2,2,1,7,10,3,3,5,18,51,1,0,1,0,9,67,1,0,9,0,2,1,8,1,11,11,1,1,5,Austen
22,4,1,6,53,4,5,22,8,18,7,8,7,5,3,0,1,1,15,8,8,13,12,77,8,4,22,4,30,16,1,5,6,4,10,9,13,0,65,11,2,4,5,0,2,14,2,5,3,28,54,0,0,6,1,4,49,0,0,9,3,4,12,6,4,3,18,2,4,5,Austen
28,9,0,3,60,3,5,20,9,13,1,13,14,3,4,4,2,2,21,6,10,5,15,33,3,2,22,1,21,16,3,3,5,6,22,7,18,8,36,9,3,1,5,1,4,8,4,8,4,22,55,2,2,0,1,9,55,2,1,12,3,7,6,1,5,12,18,2,6,5,Austen
28,8,1,4,43,3,1,8,7,18,2,19,14,6,4,0,0,0,18,5,11,5,19,25,16,3,20,3,18,17,0,5,3,10,27,6,21,3,40,11,2,4,5,1,3,8,7,3,3,30,48,0,4,0,1,5,55,1,0,21,1,10,5,7,5,6,19,5,3,5,Austen
16,13,0,9,35,2,7,17,13,12,12,17,1,4,8,0,2,2,8,5,14,11,27,21,12,4,23,1,17,28,0,0,1,3,31,9,28,2,35,10,2,3,6,1,8,8,2,3,2,31,30,1,3,1,1,9,61,3,1,27,2,8,3,8,3,8,11,8,16,5,Austen
17,6,1,7,36,7,7,14,12,17,5,12,6,1,2,0,2,5,28,7,7,3,19,21,16,7,24,1,18,22,1,6,6,14,31,4,20,6,47,10,1,2,2,1,2,14,3,6,7,21,36,2,1,3,1,13,64,1,0,20,2,8,9,11,0,6,14,6,15,5,Austen
19,9,0,5,42,5,2,14,19,26,3,13,10,7,6,0,1,1,25,5,5,5,25,28,21,10,34,0,22,18,0,1,3,5,31,1,25,1,40,10,1,2,9,5,5,6,4,6,3,15,48,0,0,4,1,8,77,2,2,10,3,3,6,7,0,11,13,9,10,5,Austen
24,5,0,5,31,3,8,17,9,25,8,13,10,8,9,0,1,3,16,12,8,5,21,2,6,3,24,1,17,15,0,4,6,9,21,1,24,3,53,6,0,1,4,5,4,10,4,8,2,21,47,1,0,2,1,9,78,1,0,5,0,9,4,9,5,13,16,6,15,5,Austen
11,10,0,5,53,5,5,17,11,24,8,17,7,6,1,0,2,2,17,7,11,8,17,22,9,11,21,1,20,16,1,9,8,2,19,7,22,6,35,8,2,2,2,5,2,7,1,3,5,27,44,2,0,2,0,12,60,2,0,13,8,1,5,11,0,14,19,2,17,5,Austen
47,11,0,12,64,7,6,21,6,26,2,13,7,1,8,0,1,0,11,9,12,1,6,38,6,3,30,3,7,16,3,3,6,2,5,7,19,2,71,5,5,3,11,0,6,11,0,10,4,11,66,6,1,6,1,5,68,6,2,11,5,4,1,7,3,1,16,14,4,6,Austen
30,5,0,8,54,5,5,22,14,26,5,15,6,3,4,0,0,1,14,7,13,1,10,55,2,3,26,1,6,16,1,4,6,3,11,13,14,1,64,8,2,3,5,4,6,8,4,3,5,14,66,9,3,10,1,5,69,4,0,22,7,4,3,3,5,14,11,9,0,6,Austen
29,16,0,6,76,1,2,17,8,17,3,16,11,1,4,1,1,4,9,7,19,1,5,80,5,2,20,2,3,17,2,2,6,2,4,9,12,2,46,8,3,1,10,0,2,5,2,2,5,15,66,11,2,6,1,3,68,1,2,22,13,1,8,6,3,6,22,5,4,6,Austen
23,10,0,2,76,4,3,23,8,15,4,16,8,0,4,0,2,1,18,4,9,2,4,54,18,3,35,3,12,16,4,1,9,7,5,5,21,0,72,2,0,5,10,0,7,9,5,4,4,12,66,18,0,7,3,0,43,3,0,24,6,6,5,9,2,1,14,4,3,6,Austen
28,4,0,4,47,4,8,28,8,32,7,16,3,5,12,0,2,1,20,3,10,2,13,18,15,5,21,2,12,27,3,3,2,6,18,5,20,5,39,8,3,3,4,0,5,10,5,4,6,14,59,2,1,5,3,3,83,1,0,9,5,5,6,5,1,14,19,5,7,6,Austen
38,7,0,1,35,6,2,21,15,21,11,16,8,5,12,1,0,2,29,8,17,2,12,19,12,5,23,2,11,23,2,0,5,4,15,4,26,2,53,7,2,3,8,1,4,9,4,5,2,17,56,12,1,1,1,4,70,0,1,12,4,7,1,4,1,6,12,8,5,6,Austen
29,8,0,3,59,9,0,29,14,18,5,10,6,0,2,1,3,3,18,5,20,0,9,56,22,1,36,1,0,18,6,2,3,4,1,8,13,2,54,7,8,6,9,0,5,4,4,8,2,20,71,12,4,2,0,4,60,1,2,33,6,1,8,9,4,0,13,7,1,6,Austen
46,3,0,9,54,0,0,23,11,10,5,10,10,2,0,0,1,1,8,4,22,0,2,43,16,5,39,3,0,14,2,0,3,1,1,5,19,5,79,10,4,3,5,0,5,9,3,3,7,9,83,9,0,1,0,5,56,1,0,37,7,1,2,7,8,2,14,3,0,6,Austen
30,10,0,6,53,5,8,18,8,22,9,21,1,6,11,1,1,2,11,4,10,2,20,21,8,5,32,1,22,23,0,1,7,6,9,11,21,0,31,6,6,3,5,0,2,13,3,3,7,16,51,7,2,8,0,3,45,1,1,23,13,2,5,5,5,9,18,8,7,6,Austen
36,8,0,7,55,3,10,17,11,17,6,14,4,2,9,1,0,3,11,8,8,7,13,16,14,2,27,3,23,20,0,1,3,5,8,4,27,5,35,7,9,3,9,0,3,9,0,6,4,11,76,7,2,4,0,5,53,7,1,20,7,10,3,6,4,2,18,5,1,6,Austen
47,6,0,7,48,4,4,17,10,13,8,16,5,5,9,5,0,0,14,7,12,6,19,4,10,8,27,2,27,57,1,0,5,1,13,5,19,5,41,4,5,3,3,2,10,10,2,6,2,24,68,2,1,5,2,0,42,1,3,20,10,9,2,7,4,4,9,13,2,6,Austen
35,12,0,5,47,4,6,17,19,29,9,18,7,5,7,1,1,1,13,4,9,6,16,13,13,7,36,1,21,38,2,3,3,4,18,5,19,4,52,3,4,2,3,2,5,7,2,4,2,18,64,6,1,7,0,3,55,1,3,21,2,8,6,2,5,7,9,11,6,6,Austen
34,5,0,6,60,5,3,10,12,19,8,11,9,1,7,3,1,5,16,2,7,5,14,49,16,1,22,0,13,25,2,3,3,3,4,9,28,2,49,7,4,1,11,0,4,12,3,4,1,20,70,4,1,9,1,4,63,1,2,36,10,4,7,10,5,3,16,8,3,6,Austen
38,13,1,2,62,2,3,21,14,16,7,15,14,1,7,3,3,0,18,9,9,5,15,39,7,5,20,4,11,21,3,2,3,5,5,9,19,3,31,11,8,3,3,0,4,2,0,2,2,16,79,5,3,6,0,8,45,2,4,35,10,4,5,6,3,3,15,8,1,6,Austen
23,4,0,6,56,4,2,17,10,26,18,21,2,3,6,2,1,0,22,5,26,8,13,39,9,2,20,2,7,38,2,0,5,4,6,5,24,2,31,11,1,2,2,1,6,9,2,2,3,16,62,0,2,6,0,5,57,2,2,34,7,1,2,7,6,6,4,13,8,6,Austen
27,8,0,2,48,4,1,19,13,26,3,11,4,5,6,1,1,0,21,7,12,2,7,42,9,3,24,0,11,26,0,1,4,2,6,13,21,1,52,10,4,7,5,0,5,5,0,1,5,22,86,2,1,12,0,5,51,2,1,36,9,4,12,6,3,8,16,14,4,6,Austen
40,12,1,4,65,3,10,11,10,15,5,13,5,1,2,2,4,2,16,2,10,3,8,10,4,5,23,2,24,28,5,1,8,5,1,9,11,8,65,5,1,4,3,1,3,2,7,4,6,15,109,6,1,9,0,8,52,4,1,29,14,6,4,3,3,2,22,5,1,6,Austen
